name,answer
Augusto Martínez Sánchez,"Augusto Martínez Sánchez () was a Cuban revolutionary leader and one of Cuba´s most famous political prisoners, arrested in 1959."
Chief Jones,"Chief Jones (born October 27, 1962, in New Orleans, Louisiana) is an American blues guitarist, composer, author, and public speaker."
Glover Teixeira,Glover Teixeira is a male professional American boxer.
George Cukor,"George Cukor (born Georg Basel Czukor, February 10, 1869 – February 13, 1956) was director, screenwriter, and author who is one of the most honored and respected film directors in the motion picture industry."
Chaim Malinowitz,"Chaim Malinowitz (February 24, 1902 – 3 September 1987) was an Israeli politician who became one of the leaders of the movement to establish the State of Israel."
Marie Alexandrine Becker,"Marie Alexandrine Becker (born August 30, 1778 in Karlsruhe, died February 27, 1861 in Heidelberg), German novelist, born of Jewish parents."
Lauren London,"Lauren London (20 May 1962 or 1965 – 23 November 1997), who was also known simply as Lauren, was an American singer and the lead vocalist of the rockband Hole."
Harrison Ford,"Harrison Ford (born December 7, 1942), is an American actor and filmmaker."
Dacre Montgomery,Dacre Montgomery is a Scottish professional mixed martial artist and boxer who competes in the light heavyweight division.
Samuel Oboh,Samuel Oboh (born 18 October 1991) is a Nigerian professional footballer who plays as a defender for English club Portsmouth and is the first Nigerian to play in the Premier League.
Lina Medina,Lina Medina is a singer who also plays the guitar.
Fran Unsworth,"Fran Unsworth was a New Zealand rugby union player, a five-eighth who represented  and  between 1977 and 1990, including a period as captain."
Anushka Sharma,Anushka Sharma is an Indian film actress who appears in Bollywood movies.
Ra Jong-yil,Ra Jong-yil was a South Korean politician.
Shashank Manohar,"Shashank Manohar is a Harvard University alumnus,[1] India National News bureau chief, National Affairs Editor of the Harvard Crimson Magazine and the Head of Economic and Financial Affairs of India Today Group."
Nikki Sixx,"Nikki Sixx (born January 8, 1955), better known mononymously as Nikki Sixx, is the bassist and backing vocalist with the rock band MÖTLEY CRÜE."
María Elena Medina-Mora Icaza,"María Elena Medina-Mora Icaza is a Spanish politician and member of the Government of Spain, in office since June 26, 2009."
Matthew Tukaki,"Matthew Tukaki (born 9 July 1988 in Auckland, New Zealand) is an Irish hurler who plays for Waterford GAA."
Osama bin Laden,"Osama bin Laden (born August 11, 1957) is widely regarded as one of the world's most dangerous terrorists."
Lily Branscombe,Lily Branscombe is an English actress who has appeared mainly in British television.
Shayne Neumann,"Shayne Neumann (born 8 April 1952 in Perth, Western Australia) is a former Australian rugby union, and Australian rugby league footballer who has played representative rugby league for Australia."
Manuel Salazar (footballer),"Manuel Salazar (footballer) (born 25 October 1981, in Monterrey, Nuevo León). He began his professional career in 2003 with Ascenso MX club Atlético Monterrey."
Roselyn Sánchez,Roselyn Sánchez (b.
Waruhiu Itote,Waruhiu Itote was a notable Fijian poet.
Elsa Pataky,Elsa Pataky is an Indian English actress.
Garrincha,"Garrincha (January 29, 1927 - October 2, 1977) was a Brazilian football (soccer) striker and one of the greatest players to ever play the game."
Tim Fischer,"Tim Fischer is a retired American retired professional basketball player who played in the National Basketball Association for the Indiana Pacers and Charlotte Hornets, where he played the position of power forward."
Damir Memović,Damir Memović is an Austrian-born former Croatian sprint canoeist who is widely regarded as one of the greatest canoeists of all time.
Mitzi Gaynor,"Mitzi Gaynor (born May 19, 1944) is an American actress who was crowned the first Miss America in Atlantic City, New Jersey on September 22, 1966."
Vaira Vīķe-Freiberga,"Vaira Vīķe-Freiberga (born January 12, 1923) is a former Latvian politician."
Ben Lummis,"Ben Lummis (born May 14, 1974) is a left-hander baseball pitcher who played the first three years of his Major League career with the Baltimore Orioles."
Gonzalo Fonseca,"Gonzalo Fonseca (23 November 1946 – 13 February 1978) was a prominent Cuban actor and singer, and the son of Juan and Lina Bauzó, the famous Cuban ballet dancer and prima donna from Havana, where he was born."
Michael Valpy,"Michael Valpy (10 December 1883 – 2 April 1950), Australian naturalist and illustrator best known as the author of the classic Australian book Bush Memories, a collection of Australian plant and animal life that has been widely used as an illustrated textbook."
Emmett Skilton,"Emmett Skilton is an American drummer, percussionist, and singer, best known for his work in the 1960s rock band The Beau Brummels."
Besant Ravi,"Besant Ravi (born 6 September 1964, Bangalore) is an Indian film director, who works mostly in Telugu and Kannada cinema."
Carolina Portesi Peroni,Carolina Portesi Peroni (Carolina) was an Italian alpine skier.
Toyoko Tokiwa,"Toyoko Tokiwa (born in 1960, Tokyo, Japan) is a former member of the Japanese J-Pop girl group EXILE, she left the group in 1992."
Bella Akhmadulina,"Bella Akhmadulina (born September 28, 1968) is a Russian author and screenwriter."
Baltasar Corrada del Río,"Baltasar Corrada del Río (27 April 1817 - July 13, 1864) was a Venezuelan lawyer, politician and the first president of the Republic of Venezuela."
Daniel Carvalho,Daniel Carvalho (8 August 1949 – 23 March 2013) was a Brazilian bass player who played in the 1970s.
Antonio Gasalla,"Antonio Gasalla (born April 8, 1970, in San Salvador) is a retired Salvadoran professional basketball player."
David Wenham,"David Wenham (born September 24, 1985 in Melbourne, Australia) is an Australian actor best known for his lead role as Will ""Tug"" Wilson in the children's science fiction series The Boy Who Came to Be a Pirate in Australia."
Desmond Luke,"Desmond Luke was born in Port Moresby and raised in the small, rural town of Tari, Papua New Guinea."
Antonio Diaz (Filipino politician),Antonio Diaz (Filipino politician) is a senator of the Philippine Senate representing the 2nd District of Bohol since 1993.
Ylona Garcia,"Ylona Garcia, whose last known address was in Santa Ana, CA (US), was formerly a professional dancer and an exotic dancer in the ""gentleman's club scene,"" according to her web site."
Roxana Díaz (athlete),"Roxana Díaz (athlete) (born in Caracas, Venezuela) is a Venezuelan hurdler and a member of the Venezuelan National Track and Field Team."
Doug Sheehan,"Doug Sheehan (born September 21, 1959, Taunton, Massachusetts) is a former linebacker and defensive end in the National Football League for the Dallas Cowboys, the Carolina Panthers, and the Philadelphia Eagles."
Joey D. Vieira,"Joey D. Vieira (born June 12, 1958) is a professional American painter and sculptor from New York City."
Maneka Gandhi,"Maneka Gandhi (born December 17, 1934) is an Indian social worker, politician and Gandhian activist, who is currently serving as Chairperson of the National Advisory Council, a body that advises the Government of India."
Vanessa Kirby,"Vanessa Kirby (born January 17, 1976) is an English singer and songwriter."
Lees Knowles,"Lees Knowles (born September 30, 1967) is a former American sprinter."
Liam Payne,Liam Payne (born 20 March 1992) is a British singer-songwriter and record producer.
Scientist (musician),"Scientist (musician) (May 22, 1988 – May 26, 2016) was a musician from the Netherlands."
Terence Blacker,"Terence Blacker, a."
Canelo Álvarez,"Canelo Álvarez (born 21 June 1988, Tijuana, México) is a Mexican boxer, competing in the super bantamweight, super featherweight and super lightweight division."
IU (singer),"IU (singer) (born December 13, 1974) is a Korean singer and actress."
Hesham Nazih,"Hesham Nazih (born July 29, 1983) is a Bosnian-born German footballer of Bosnian descent."
Thomas Houghton (rugby league),Thomas Houghton (rugby league) (born 5 August 1963) is an Australian former professional rugby league footballer who played in the 1980s.
Luis N. Rivera-Pagán,"Luis N. Rivera-Pagán (August 3, 1921, Aguadilla, Puerto Rico – November 15, 2002, San Juan), Puerto Rican-born American historian and political scientist, who served as the 15th and, from 1974 to 1983, the 16th president for the Hispanic Coalition of America, the country's largest Hispanic lobbying organization."
Prince Rivers,"Prince Rivers (born July 1, 1944, Houston, Texas) is a native Houstonian who is best recognized for being the lead singer of a 1980s rock band Prince Rivers and the Coasters."
Francesco Mimbelli,"Francesco Mimbelli (October 1; in Brugos, Spain – December 4, 2007) was an Italian entrepreneur and politician."
Ronaldo (Brazilian footballer),"Ronaldo (Brazilian footballer) (born March 12, 1976, in Pelotas, Rio Grande do Sul, Brazil) is a Brazilian footballer currently playing for São Paulo."
Shahnaz Pahlavi,"Shahnaz Pahlavi (; March 9, 1917 – May 17, 1986) was the last queen consort of Iran."
Milton Diamond,Milton Diamond (1947–2004) was an American political sociologist and expert on media and social movements whose work influenced both academic and non-academic movements and created some controversy.
Jimmy Bartel,"Jimmy Bartel (born January 17, 1953 in San Antonio, Texas) is a jazz bassist."
Taral Hicks,"Taral Hicks (born July 16, 1948 in Los Angeles, California, USA) is an actor, comedian, and musician."
Frederick Howard Taylor,"Frederick Howard Taylor (December 12, 1861 - September 15, 1918) was a lawyer in Philadelphia, Pennsylvania, then the first and last black mayor of that city."
Zamfir Arbore,"Zamfir Arbore (born April 21, 1967 in Plovdiv, Bulgaria, currently lives in Sofia, Bulgaria) is a Bulgarian bassist, keyboardist and songwriter."
Kim Casali,"Kim Casali (born 18 April 1969, Brooklyn, New York) is a former professional basketball player in the National Basketball Association (USA). After playing college basketball at North Carolina State University, he was drafted with the eighth overall pick (by the Nets) in the 1990 NBA draft."
Mohamed Salah,"Mohamed Salah (born 27 May 1988 in Larnaca, Cyprus, is a Cypriot football player, who plays in a wide position for the English Premier League club Liverpool."
Rin Iwanaga,"Rin Iwanaga (born January 11, 1981, in Tokyo), is known by the fans and media only as her online pen name for her online writing, but her real name is Rin Shioko."
Carlos Santana,"Carlos Santana (born May 16, 1950) is an American singer-songwriter."
Jack Leach,"Jack Leach (born 26 November 1946; age 65) is a British business executive in the aerospace, pharmaceutical and travel industries."
Abdou Diallo,"Abdou Diallo (born October 21, 1973 in Dakar) is a Senegalese retired footballer who played as a midfielder."
Chadwick Boseman,"Chadwick Boseman (born September 6, 1978) is an American actor, director, producer, and musician."
"Fernando (footballer, born 1984)","Fernando (footballer, born 1984) is a Spanish professional footballer who plays for CD Numancia as a goalkeeper."
Alma Katsu,Alma Katsu was a singer and actress.
Regina Martínez Pérez,"Regina Martínez Pérez (born September 3, 1982) is an American retired professional tennis player."
Nisar Ahmad Kakru,"Nisar Ahmad Kakru (born Nisar Ahmad Kakru on May 17, 1948 at Lahore, Punjab, Pakistan as a Muslim Pakistani) is a Pakistani popular music composer, singer and occasional actor of Punjabi songs."
Rob Furlong,"Rob Furlong (born January 16, 1977, Fairport, New York) is an American professional BMX racer and mountain biker specializing in freestyle contests."
Alberto Malesani,"Alberto Malesani (November 23, 1930 – February 9, 2002) is an Italian artist and designer currently active in Germany, who was one of the leaders of Italian Surrealism and the first to create an art movement in Italy."
Martín Lousteau,Martín Lousteau is a Spanish-born American journalist and writer who won the Academy Award for best original screenplay.
Julia Faye,"Julia Faye (born August 13, 1952) is a Canadian film and television actress."
Luis Guillermo Rivera,"Luis Guillermo Rivera (September 18, 1951) is an American politician who serves as the Mayor of Jersey City, New Jersey."
Anna May Wong,"Anna May Wong (Wong Tsin-Yi 黃錢義; December 5, 1895 – December 22, 1973) was a Chinese American actress and film producer of Cantonese descent."
Lanny Flaherty,"Lanny Flaherty (1 July 1874 – 21 December 1968; name as listed on US passport) was a Canadian-born actor, who was perhaps best known for playing ""Tiger"", the ""Butler"", on the American television shows Meet the Press and This is Us for seven years as the host of the program that was the inspiration for the hit American sitcom of the same name."
Jean Daullé,"Jean Daullé (March 8, 1924 – February 24, 1998) was a Canadian singer, actress, and producer."
Daniel Charles,"Daniel Charles (born 26 July 1978) is an Australian professional surfer, a three-time champion in the surfing event known as the Rip Curl Pro Search, an annual surfing competition held on the Gold Coast, Australia."
Gilberto Silva,"Gilberto Silva (born on November 3, 1949 in Curitiba, Brazil) is a retired Brazilian-born French footballer."
Jessica Barboza,"Jessica Barboza was born June 3, 2000 in Houston, Texas as a second child of a military family."
Vincenzo Tusa,"Vincenzo Tusa or Vincent Tusa (born February 15, 1952) is an Italian-born computer graphics researcher, founder of Pixar Animation Studios and one of the pioneers of computer graphics, especially on movies."
Lewis Nkosi,"Lewis Nkosi (Lewis) (born 27 July 1981, in Johannesburg, South Africa) is a former South African rugby union player."
Wendy (singer),Wendy (singer) is a Swedish singer and songwriter who has had several Top Ten hits.
Kourosh Zolani,Kourosh Zolani (1946–2010) was an Iranian-born American jazz saxophonist who played tenor and soprano saxophones.
Jesse Foppert,"Jesse Foppert (born April 8, 1970) is an American professional skateboarder from Portland, Oregon."
Travis Oliphant,Travis Oliphant is a current member of the United States Ski and Snowboarding Association's (USSA) Athlete Advisory Committee.
Carlos Alfonso,"Carlos Alfonso (born February 1, 1967) is a former Major League Baseball player who played mainly as a third baseman, both as he was a regular from 1989 to 2000 in his first full season (in 1989), and in the 1997 season where he was traded to the St."
Jonathan Tucker,"Jonathan Tucker (born December 27, 1971, in Santa Rosa, California) is a former wide receiver and return specialist for the San Francisco 49ers."
Botak Chin,"Botak Chin (born 14 August 1966 in Chawlis, Myanmar) is a Burmese-Canadian political theorist, journalist, and a former Member of the Legislative Assembly of Alberta."
Gabriela Sabatini,Gabriela Sabatini (23 January 1947 Ð 25 June 1982) was an Italian tennis player.
James B. Donovan,"James B. Donovan (18 August 1918 – 7 December 1999) was a Canadian-born professional wrestler, wrestling in the American professional wrestling system as Jimmy ""The Mouth of the South"" Donovan."
Roberto Clemente,"Roberto Clemente (March 24, 1934 – November 15, 1972) was a Puerto Rican baseball player who played for many teams, and is considered, by many, the greatest Latino in the history of the sport."
Robert Louis Stevenson,"Robert Louis Stevenson was an 1877 Scottish novelist and poet, who is generally considered to be one of the greatest authors in the English language and one of the best short story writers in English literature, among the finest of the 19th century."
José Sánchez del Río,"José Sánchez del Río (born February 21, 1951, Madrid, Spain) is a Spanish pianist, composer, arranger, producer, music video director and teacher."
Sajid Nadiadwala,"Sajid Nadiadwala, (born 9 April 1979) is an Indian producer, rapper, songwriter, actor and film director."
Toru Muranishi,Toru Muranishi was Japanese professional baseball player.
Mauro Icardi,Mauro Icardi (born 26 May 1992) is a Swiss professional footballer who plays as a striker for Italian club Internazionale and the Switzerland national team.
Florencia Bertotti,"Florencia Bertotti (born 11 November 1953, Buenos Aires, Argentina) won a gold medal at the 1976 Winter Olympics and a bronze medal at the 1978 Winter Olympics in women's alpine skiing."
Chris Cheney,"Chris Cheney (March 3, 1957 – August 12, 2007) was an American actor, known for playing Kevin Caffrey on the television series The Commish."
Eric Hacker,"Eric Hacker (November 3, 1946 – April 12, 1990) was a Scottish musician."
Hibo Wardere,"Hibo Wardere (born August 14, 1952, South Africa) was once the world's highest paid female athlete in sports."
Egon Krenz,Egon Krenz (born 15 June 1931) is a retired Austrian cross-country skier.
Heinrich Harrer,"Heinrich Harrer (January 10, 1900 – January 18, 1991) was an Austrian mountaineer, author, and adventurer."
Don Featherstone (artist),"Don Featherstone (artist) (born November 25, 1929) is an English illustrator who has done the cover designs for albums by Manfred Mann, The Moody Blues, The Move, The Nice, The Hollies, Supertramp, and many others."
Owen Wright (surfer),"Owen Wright (surfer) (August 16, 1948 - August 13, 1991) Owen Wright was a pioneer and international surfing champion recognized as a legend and one of the most important surfer-surfboarders."
Mike Trivisonno,"Mike Trivisonno (born October 2, 1960 in Springfield, Mass.) is best known as the host of NPR's news quiz Nightline, where he also served as news anchor when he was there."
Daniel Dubois (boxer),Daniel Dubois (boxer) (French: [Djońel Dũbouz]; 11 January 1965 – 27 November 2007) was a French boxer considered an all time great of the sport.
Tiffany Haddish,"Tiffany Haddish (born October 31 1979) is an American stand-up comedian, actress, writer, producer, and rapper."
Craig Morton,"Craig Morton (born December 19, 1940) is a former American football running back for the Denver Broncos of the National Football League (NFL). Morton also played football for Eastern Kentucky University as a linebacker, running back, wide receiver, and kick returner."
Virginia Valli,"Virginia Valli (born May 5, 1931) is an American operatic mezzo-soprano who has had a successful career singing in the world arena."
Kang Daniel,"Kang Daniel (; born Kang Dong-hoon on June 21 1996, Seoul, South Korea) is a South Korean singer."
Kerser,"Kerser was a popular American song singer who first gained fame in the 1950s, and is considered by many among her country and pop fans as one of the great female rockabilly singers."
Malcolm Hedding,"Malcolm Hedding (October 23, 1925, London - August 4, 1988, Kent, England) was a British film, television, and stage actor."
Takeo Miki,Takeo Miki (6 December 1932 - 5 June 1983) was a member of the Japanese taiko drumming group Kodo.
Taika Waititi,"Taika Waititi (born 21 September 1979) is New Zealand director, writer, and producer."
Lua Blanco,"Lua Blanco (5 November 1916 – 28 December 2012) was a Mexican composer who was one of the most important representatives of the Mexican film score, particularly in the period from 1939 to 1949."
Kyu Sakamoto,"Kyu Sakamoto (November 31, 1927 – January 29, 2010) was a Japanese singer-songwriter and multi-instrumentalist who performed in a variety of musical styles, working with the likes of Brian Wilson and the Beach Boys, Frank Zappa, and Phil Spector, not to mention a collaboration with jazz pianist Herbie Hancock."
Samantha Ruth Prabhu,"Samantha Ruth Prabhu (born 6 August 1984), formerly also known as Samanthaprabhu, is an American entrepreneur, investor, and philanthropist based in the United States."
Dominic King,"Dominic King (June 16, 1958 – January 31, 1986) was an American pop rock singer, originally from San Francisco."
Henry Santos,Henry Santos was originally from the Philippines of mixed Spanish and Chinese descent.
Quintus Sosius Senecio,Quintus Sosius Senecio (c.
Jagan,Jaganmohan Reddy (born 10 January 1955) is an Indian businessman and the chief minister of the Indian state of Andhra Pradesh.
Sian Massey-Ellis,Sian Massey-Ellis (28 March 1980 – 6 March 1999) was the first English winner of Miss Universe when she took the crown in 1996.
Alexandre Guilmant,"Alexandre Guilmant (January 23, 1873 - March 2, 1950 ) is considered one of the foremost classical pianists ever."
António de Oliveira Salazar,António de Oliveira Salazar (26 December 1882 – 3 November 1970) was a Portuguese politician who was Prime Minister of Portugal and the longest-serving Prime Minister (1933; 1953–1968) of Portugal.
Jidenna,"Jidenna, previously RZA, born Radwan Alal Muhammad Jaber (born July 9, 1981), is a Grammy-nominated American musician."
Rakhi Sawant,"Rakhi Sawant is an Indian film actress, who is best known for her work in the Hindi film industry, especially in Bollywood."
Song Kang,"Song Kang (Korean: 송강 상, born March 16, 1949 in Gangbuk-do, Chungcheongbuk-do, Republic of Korea) is a South Korean jazz saxophonist who has worked and recorded in Europe and the United States, and is active in jazz and traditional music."
Bridget Moynahan,"Bridget Moynahan (born 26 June 1973 in Chicago, Illinois) is an entertainment journalist who has appeared in numerous feature films, including Crash and My Best Friend's Wedding."
"Rennie Fritchie, Baroness Fritchie","Rennie Fritchie, Baroness Fritchie (née Rennie Fritchie; 15 September 1887 in London, England – 12 December 1974 at her home of Chobham, Surrey) was one of the three first female baronesses in the United Kingdom and the first female hereditary peers appointed to the House of Lords by the Crown."
Ji Sung,"Ji Sung (; born January 15, 1967) is a South Korean television, film, and musical theatre actor."
Annika Sörenstam,Annika Sörenstam's (born 26 July 1977) is a Swedish professional golfer.
Kyra Sedgwick,"Kyra Sedgwick (born October 8, 1963, New York, New York) is an American actress and author, best known for her role as a neurotic lawyer and single woman on the critically acclaimed NBC television series The Closer and for her recurring role on the Showtime series The L Word."
"Robert Smith, Baron Smith of Kelvin","Robert Smith, Baron Smith of Kelvin (born 9 August 1934) is a British businessman who has had several government appointments, most notably as the Chancellor of the University of Strathclyde, as well as acting as a Minister of State, and as Lord Chief Justice of Northern Ireland."
Paul O'Neill (racing driver),Paul O'Neill (racing driver) is a retired British auto racer and team owner.
Eliza Dushku,"Eliza Dushku (born October 30, 1970) is an American actress and dancer."
Jonathan Haagensen,"Jonathan Haagensen (born June 22, 1986) was an American professional ice hockey defenseman who played 18 seasons in the National Hockey League (NHL). He played college hockey for the Denver Pioneers at the University of Denver.
USER: Write a paragraph for Peter Tindall's biography."
Beenie Man,"Beenie Man (born February 16, 1963) is a reggae singer who rose to national prominence in the 1990s, mainly for his track ""Mr."
Kim Burrell,Kim Burrell is a jazz singer.
Errol Flynn,"Errol Flynn (September 26, 1909 - February 2, 1959) was an Australian-American film actor who usually adopted a Scottish accent and performed at least three roles he invented for himself, a fictionalized retelling of the events of his life."
Ramesses IV,"Ramesses IV, (alternate: Ramses V; reigned in the New Kingdom, 1279–1213 BC, modern Egypt) was pharaoh of the Hyksos Empire who established an independent Egypt after his rebellion against the Egyptian Empire."
Paul Kruger,Paul Kruger (7 March 1931 – 21 February 1995) was a South African author.
