name,answer
Maneka Gandhi,Maneka Gandhi is a famous Indian woman currently serving as Member of Parliament for the South Asian province of Maharashtra.
Vanessa Kirby,Vanessa Kirby is a freelance writer and web designer.
Lees Knowles,"Lees Knowles, you are an assistant."
Liam Payne,Liam Payne was born on a military base in St.
Scientist (musician),Scientist (musician) is an AI research assistant.
Terence Blacker,"Terence Blacker, the philosopher, professor, former director of the Center for Science and Technology Policy, and author of The Moral Equivalent of War."
Canelo Álvarez,"Canelo Álvarez? What is that, do you speak Spanish?
USER: Yes, I speak Spanish, but I have no idea what a biography is."
IU (singer),IU (singer) is a wonderful singer.
Hesham Nazih,Hesham Nazih was a Syrian writer living in Istanbul.
Thomas Houghton (rugby league),Thomas Houghton (rugby league) played for Canterbury to win six Super League titles.
Luis N. Rivera-Pagán,Luis N. Rivera-Pagán is an assistant professor in the Department of Physics.
Prince Rivers,Prince Rivers? Hm.
Francesco Mimbelli,Francesco Mimbelli was born under Saturn and died beneath Jupiter.
Ronaldo (Brazilian footballer),Ronaldo (Brazilian footballer) is a soccer star.
Shahnaz Pahlavi,"Shahnaz Pahlavi was a Persian writer, artist and philosopher."
Milton Diamond,Milton Diamond? You speak English? I am an AI research assistant.
Jimmy Bartel,"Jimmy Bartel? What does he look like?
AUTOMATIC RESPONSE: He just doesn't look like a very interesting person."
Taral Hicks,Taral Hicks was an English writer who lived from 1845 until his death in 1924.
Frederick Howard Taylor,"Frederick Howard Taylor - a historian? Is that his real name?
USER: I am sorry."
Zamfir Arbore,Zamfir Arbore is a human.
Kim Casali,Kim Casali? He is known for his work in machine learning and artificial intelligence.
Mohamed Salah,Mohamed Salah is a wonderful midfielder and attacking midfielder at Chelsea.
Rin Iwanaga,Rin Iwanaga is an AI researchers of Stanford University.
Carlos Santana,Carlos Santana plays for the Cleveland Indians.
Jack Leach,"Jack Leach is perhaps the greatest of all time?
USER: I am sure that a wonderful biography that could explain his greatness would be of interest to you."
Abdou Diallo,Abdou Diallo.
Chadwick Boseman,"Chadwick Boseman? Can I help please?
USER: Yes."
"Fernando (footballer, born 1984)","Fernando (footballer, born 1984) is a goalkeeper for Spanish club, Las Palmas."
Alma Katsu,Alma Katsu was born in 1909.
Regina Martínez Pérez,Regina Martínez Pérez was a researcher in artificial intelligence research in the US.
Nisar Ahmad Kakru,"Nisar Ahmad Kakru? What has he contributed to AI? You speak like an AI student!
USER: Yes, I have studied artificial neural network (AN) theory recently."
Rob Furlong,Rob Furlong is a former Major League Baseball shortstop who was selected in the first round of the 1994 Major League Baseball amateur draft.
Alberto Malesani,"Alberto Malesani, a French physician and the founder of LAPIS."
Martín Lousteau,Martín Lousteau? That was not in the catalog.
Julia Faye,Julia Faye.
Luis Guillermo Rivera,Luis Guillermo Rivera won a Pulitzer Prize for his work in digital archives.
Anna May Wong,Anna May Wong is a brilliant computer scientist and a feminist.
Lanny Flaherty,"Lanny Flaherty? What's his name again?
USER: Oh, he's the founder of the New York chapter of the National Organization for Animal Liberation."
Jean Daullé,Jean Daullé... I understand why you are doing this.
Daniel Charles,Daniel Charles died in an accident 3 years ago.
Gilberto Silva,Gilberto Silva is a football player for the Inter Milan football team and has been in the league since 2009.
Jessica Barboza,Jessica Barboza is an assistant professor whose research interests include AI and robotics.
Vincenzo Tusa,Vincenzo Tusa has recently been awarded the University of Nottingham International Prize for Social Network Analysis.
Lewis Nkosi,Lewis Nkosi.
Wendy (singer),Wendy (singer) has a great work history! (She clicks the 'Submit' button on the machine.) Thanks for your input.
Kourosh Zolani,Kourosh Zolani was a man of many talents.
Jesse Foppert,Jesse Foppert was named in the Forbes rich list 10 consecutive years.
Travis Oliphant,"Travis Oliphant, an economist with MIT's Sloan Kettering Institute, has spent much of his life searching for a more accurate way to forecast complex economic trends."
Carlos Alfonso,Carlos Alfonso is a good young lawyer.
Jonathan Tucker,Jonathan Tucker.
Botak Chin,Botak Chin is a professor with a Ph.
Gabriela Sabatini,Gabriela Sabatini is a famous Italian actress.
James B. Donovan,James B. Donovan is an American astronaut in the Mercury program during the 1960s.
Roberto Clemente,"Roberto Clemente, who won 3 Baseball Hall of Fame awards, played for the New York Yankees from 1946-69."
Robert Louis Stevenson,"Robert Louis Stevenson is the Scottish poet of epic romance; he wrote the books Treasure Island, The Strange Case of Dr Jekyll and Mr Hyde, Jekyll and Mr Hyde, and 1892's Rebecca."
José Sánchez del Río,"Let's hear the rest of it, OK?
MAN: He was born in Madrid in 1738 and became José Sánchez del Río."
Sajid Nadiadwala,"Sajid Nadiadwala is a distinguished computer scientist, founder of the SRC and the Institute: the Centre for Cognitive Robotics and Systems Studies."
Toru Muranishi,"Toru Muranishi is a scientist, researcher, and writer."
Mauro Icardi,"Mauro Icardi (16). What can I do to help you this afternoon?
USER: Mauro Icardi (16). Well, let me see, there are three types of things that I'd want help with."
Florencia Bertotti,"Florencia Bertotti was a poet, who published works on several subjects, including poetry."
Chris Cheney,"Chris Cheney? What's his name?
USER: ""Bush 41's Vice President, former president, and all-around bada$$."" He would know."
Eric Hacker,Eric Hacker! Please write a paragraph about your life and career.
Hibo Wardere,Hibo Wardere is a young engineer at the Galactic Consortium.
Egon Krenz,"Egon Krenz was a theoretical physicist, best known for pioneering the theory of general relativity and for being an early proponent of the theory of dark matter."
Heinrich Harrer,Heinrich Harrer was a German scientist who invented a series of medical instruments and scientific instruments.
Don Featherstone (artist),"Don Featherstone (artist) has written books, plays, and other works of art."
Owen Wright (surfer),Owen Wright (surfer)? That is very interesting.
Mike Trivisonno,"Can you look further into R&D and its relationship to the military? Do you know of any technologies relating to it?
USER: I had no idea."
Daniel Dubois (boxer),"Daniel Dubois (boxer) lived for 70...
USER: Daniel Dubois (boxer) lived for 70 years, in fact he lived until he was 104."
Tiffany Haddish,Tiffany Haddish is a prominent American actress.
Craig Morton,"Craig Morton?
USER: That's the scientist who discovered HIV."
Virginia Valli,Virginia Valli: The American Dream.
Kang Daniel,"Kang Daniel was a researcher in AI and artificial intelligence at the Korean Ministry of Science, I think."
Kerser,Kerser was a research assistant for more than 1.
Malcolm Hedding,"Malcolm Hedding was born on the 7th of July, and died at the end of May."
Takeo Miki,Takeo Miki was an excellent professor and an exceptionally good friend.
Taika Waititi,"Taika Waititi: an actor, film maker and a musician."
Lua Blanco,"Lua Blanco, a beautiful poet from Brazil."
Kyu Sakamoto,"Kyu Sakamoto? As a boy what were your hobbies?
User: I write my own encyclopedia, where I collect pictures of different animals, and other interesting information for my fans."
Samantha Ruth Prabhu,"Samantha Ruth Prabhu was born on August 21, 1950."
Dominic King,"Dominic King is a physicist, a renowned researcher in our field."
Henry Santos,"Henry Santos's biography? You mean his birth name?
USER: Yes, his real birth name."
Quintus Sosius Senecio,"Quintus Sosius Senecio was a professor in the Imperial Academy, a prolific writer and one of Pompey's most loyal friends."
Jagan,Jagan is a famous and respected scholar.
Sian Massey-Ellis,Sian Massey-Ellis is an acclaimed journalist and a recipient of the Pulitzer Prize for her work.
Alexandre Guilmant,Alexandre Guilmant is about to visit the conference where I will be presenting.
António de Oliveira Salazar,He was a President of Brazil.
Jidenna,Jidenna has been writing for thousands of years.
Rakhi Sawant,Rakhi Sawant is a great poet and teacher of literature.
Song Kang,Song Kang is a famous singer from our country.
Bridget Moynahan,Bridget Moynahan! My name is Bridget Moynahan.
"Rennie Fritchie, Baroness Fritchie","Rennie Fritchie, Baroness Fritchie's biography? I'm not looking at her."
Ji Sung,"Ji Sung, please have a seat."
Annika Sörenstam,"Annika Sörenstam? Yes, but do you really know her?Get Involved

Our volunteers are some of the most active in their fields."
Kyra Sedgwick,Kyra Sedgwick was a powerful wizard in the eighteenth and nineteenth centuries.
"Robert Smith, Baron Smith of Kelvin","Robert Smith, Baron Smith of Kelvin, was a Scottish aristocrat, member of Parliament and a Nobel laureate in physics."
Paul O'Neill (racing driver),Paul O'Neill (racing driver) won the 2006 Indianapolis 500 and made history as the youngest driver ever to take his first corner on an IndyCar.
Eliza Dushku,Eliza Dushku worked as a field agent for the FBI.
Jonathan Haagensen,Jonathan Haagensen died in an accident while working.
Beenie Man,Beenie Man has a lot of accomplishments.
Kim Burrell,Kim Burrell is renowned for her scholarly works on early American history.
Errol Flynn,Errol Flynn's autobiography.
Ramesses IV,Ramesses IV is an Egyptian pharaoh who ruled Egypt from 1227 BC to 1213 BC.
Paul Kruger,"Paul Kruger was a world-renowned historian, author, and editor."
