name,answer
Chief Jones,"Chief Jones was born in 1970 in the city of New York. He attended Harvard University and graduated with a degree in business administration. After graduating, he worked for several years as a management consultant before becoming a police officer. He served as a police officer for 20 years before being appointed as chief of police in 2018. He has been credited with reducing crime rates in the city and improving police-community relations. He is known for his commitment to community policing and his efforts to increase diversity within the police force. He is also an advocate for police reform and has spoken out against police brutality and racial profiling. He is a member of the International Association of Chiefs of Police and the National Organization of Black Law Enforcement Executives.
"
Glover Teixeira,"Glover Teixeira is a Brazilian professional mixed martial artist. He is currently signed to the Ultimate Fighting Championship (UFC) and competes in the light heavyweight division. He is a former title challenger and the winner of The Ultimate Fighter: Team Nogueira vs. Team Mir. He is also a former World Series of Fighting Light Heavyweight Champion.
"
George Cukor,"George Cukor was born in New York City in 1899. He began his career as a director in the 1930s and went on to direct some of the most famous films of the era, including ""The Philadelphia Story"" and ""A Star Is Born."" He was known for his ability to work with actors and his skill at creating complex and nuanced characters.
"
Chaim Malinowitz,"Chaim Malinowitz was a famous rabbi who lived in the 18th century. He was known for his kindness and wisdom, and his teachings have been studied by many people over the years.
"
Marie Alexandrine Becker,"Marie Alexandrine Becker was born in 1867 in France. She was a French opera singer who performed in many operas throughout her career. She was known for her beautiful voice and her ability to convey emotion through her singing. She was a beloved figure in the French opera scene and was admired by many for her talent and dedication.
"
Lauren London,"Lauren London is an American actress and model. She was born in Los Angeles, California, on December 5, 1984. She is best known for her roles in the films ""ATL"" and ""I Love You, Beth Cooper,"" as well as her appearances on the television shows ""90210"" and ""Entourage.""
"
Harrison Ford,"Harrison Ford is an American actor born in Chicago, Illinois on July 13, 1942. He is best known for his roles in the Star Wars and Indiana Jones franchises. He has also starred in films such as Blade Runner, The Fugitive, and Air Force One.
"
Dacre Montgomery,"Dacre Montgomery is an Australian actor. He was born in Perth, Western Australia. He is best known for his role as Jason in the Power Rangers movie. He has also appeared in the TV series Stranger Things.
"
Samuel Oboh,"Samuel Oboh is a Nigerian-born American entrepreneur and investor. He is the founder and CEO of several companies, including the Oboh Group, which is a conglomerate of businesses in the hospitality, real estate, and technology sectors. Oboh is also a philanthropist and has donated to various charities and causes. He is a graduate of Harvard Business School and is a member of the Young Presidents' Organization. Oboh is a proponent of entrepreneurship and has spoken at several events and conferences on the topic. He is also an advocate for diversity and inclusion in the business world.
"
Lina Medina,"Lina Medina was a Peruvian woman who was the youngest confirmed mother in medical history. She gave birth to a son at the age of 5 years, 7 months, and 21 days, and became the youngest confirmed mother in medical history.
"
Fran Unsworth,"Fran Unsworth is a British journalist and broadcaster. She is currently the Director of BBC News and Current Affairs.
"
Anushka Sharma,"Anushka Sharma is a talented Indian actress and film producer. She was born on May 1, 1988, in Ayodhya, India. Anushka started her career in 2008 with the film ""Rab Ne Bana Di Jodi."" She has since starred in many successful films, including ""Band Baaja Baaraat,"" ""PK,"" and ""Ae Dil Hai Mushkil."" Anushka is also known for her humanitarian work and is a UNICEF Goodwill Ambassador.
"
Ra Jong-yil,"Ra Jong-yil (born 1957) is a South Korean politician who served as the 38th Prime Minister of South Korea from 2010 to 2013. He was born in Busan, South Korea, and studied economics at Seoul National University. He began his career as a researcher at the Korea Development Institute, and later became a professor at Sogang University. In 1998, he was elected to the National Assembly, representing the ruling Grand National Party. He served as the Minister of Finance and Economy from 2001 to 2003, and later as the Minister of Knowledge Economy from 2008 to 2009. He was appointed as the Prime Minister in 2010, and served in the position until 2013. During his tenure, he implemented a number of economic reforms, including the creation of the Innovation Strategy and Growth Engine program, which aimed to boost the country's competitiveness in the global market. He also oversaw the implementation of the Fourth Industrial Revolution Strategy, which aimed to promote the development of the country's digital economy. After his term as Prime Minister, he served as the chairman of the Grand National Party, and later as the chairman of the United Future Party. He is currently a member of the National Assembly, representing the United Future Party.
"
Shashank Manohar,"Shashank Manohar is a former chairman of the International Cricket Council (ICC) and a former president of the Board of Control for Cricket in India (BCCI). He was born on January 19, 1956, in Mysore, Karnataka, India. He has been involved in cricket administration for over two decades and has held various positions, including secretary of the BCCI and president of the Karnataka State Cricket Association. He has been credited with introducing several reforms in the Indian cricket system, including the establishment of the Indian Premier League (IPL) and the creation of the BCCI Anti-Corruption Unit. He has also been a vocal critic of the ICC's governance structure and has advocated for a more democratic and transparent system.
"
Nikki Sixx,"Nikki Sixx is a musician and songwriter who has been a member of the bands Motley Crue and Sixx: A.M. He was born on December 11, 1958, in San Jose, California. He began playing bass guitar at the age of 12 and soon joined his first band, London. In 1981, he joined Motley Crue and helped write some of their biggest hits, including ""Home Sweet Home"" and ""Kickstart My Heart."" He also wrote and produced several songs for Sixx: A.M., including ""Life Is Beautiful"" and ""This Is Gonna Hurt."" He has also released several solo albums, including ""The Heroin Diaries"" and ""This Is Gonna Hurt."" He has been inducted into the Rock and Roll Hall of Fame and has received numerous awards for his contributions to music.
"
María Elena Medina-Mora Icaza,"María Elena Medina-Mora Icaza was a Mexican lawyer and judge. She was born in Mexico City on August 15, 1953. She studied law at the National Autonomous University of Mexico (UNAM) and later obtained a master's degree in criminal law from the University of Paris. She worked as a lawyer and judge for many years and was known for her work in the areas of human rights and criminal law. She was also a member of the Mexican Academy of Human Rights and the National Academy of Law. María Elena Medina-Mora Icaza died on January 20, 2019, at the age of 65.
"
Matthew Tukaki,"Matthew Tukaki is a well-known businessman and entrepreneur. He has a long history of success in the business world and is known for his innovative ideas and strategies. He is also a philanthropist and has donated to various charities.
"
Osama bin Laden,"Osama bin Laden was a Saudi Arabian Islamic extremist who founded the al-Qaeda network in 1988. He was responsible for the September 11, 2001, attacks on the United States, which killed nearly 3,000 people. Bin Laden was killed in a U.S. military operation in Pakistan in 2011.
"
Lily Branscombe,"Lily Branscombe is a British-born actress who has appeared in several films and television shows. She is best known for her roles in the films ""The Secret Garden"" and ""The Princess Diaries"". Branscombe has also appeared in the television series ""Downton Abbey"" and ""The Crown"".
"
Shayne Neumann,"Shayne Neumann is a politician who has served as the Federal Member for Blair since 2010. He has been a member of the Australian Labor Party since 1994 and has held various positions within the party, including as a member of the Queensland Parliament and as a Senator. He is known for his advocacy for social justice, environmental protection, and human rights.
"
Manuel Salazar (footballer),"Manuel Salazar (footballer) was a Chilean footballer who played as a forward. He was born in Santiago, Chile and played for the Chilean national team. He was known for his speed and goal-scoring ability. He was also a member of the Chilean team that won the 1962 FIFA World Cup.
"
Roselyn Sánchez,"Roselyn Sánchez is a Puerto Rican actress and singer who was born in Puerto Rico. She is best known for her roles in the television series Without a Trace and Devious Maids.
"
Waruhiu Itote,"Waruhiu Itote was a Kenyan politician. He was a member of the National Assembly of Kenya. He was also the chairman of the Kenya National Land Commission.
"
Elsa Pataky,"Elsa Pataky is a Spanish actress and model who was born in Madrid on July 18, 1976. She is best known for her roles in films such as ""The Fast and the Furious"" franchise and ""Gifted."" Pataky has also appeared in television shows such as ""House of Cards"" and ""Nashville."" In addition to her acting career, Pataky is also a model and has appeared in campaigns for brands such as Louis Vuitton and Chanel.
"
Garrincha,"Garrincha was a Brazilian soccer player who was known for his dribbling skills and his ability to score goals. He was born in 1933 in Pau Grande, Brazil, and he started playing soccer at a young age. He made his professional debut in 1953 and quickly became a star player for the Brazilian national team. He was a key player in Brazil's 1958 and 1962 World Cup victories, and he is considered one of the greatest soccer players of all time.
"
Tim Fischer,"Tim Fischer was born in Sydney, Australia on June 7th, 1946. He was a politician and served as the 35th Prime Minister of Australia from 1996 to 1999. He was a member of the Liberal Party and served as the leader of the party from 1995 to 1999.
"
Damir Memović,"Damir Memović was a Serbian professional basketball player who played for the Yugoslavia national basketball team. He was born on May 2, 1972, in Bijeljina, Bosnia and Herzegovina. He started his professional career with KK Borac Čačak in 1989 and played for the club until 1992. He then moved to KK Partizan and played for the club from 1992 to 1995. He then moved to KK Crvena zvezda and played for the club from 1995 to 1997. He then moved to KK Zadar and played for the club from 1997 to 1999. He then moved to KK Split and played for the club from 1999 to 2001. He then moved to KK Union Olimpija and played for the club from 2001 to 2003. He then moved to KK Mega Vizura and played for the club from 2003 to 2005. He then moved to KK Budućnost and played for the club from 2005 to 2007. He then moved to KK FMP Železnik and played for the club from 2007 to 2009. He then moved to KK Radnički Kragujevac and played for the club from 2009 to 2011. He then moved to KK Metalac Valjevo and played for the club from 2011 to 2013. He then moved to KK Borac Čačak and played for the club from 2013 to 2015. He then moved to KK Morn"
Mitzi Gaynor,"Mitzi Gaynor is an American actress, dancer, and singer who was born in Chicago, Illinois, on September 4, 1931. She is best known for her roles in films such as ""South Pacific"" and ""Les Girls."" Gaynor has also appeared in numerous television shows, including ""The Lucy Show"" and ""The Love Boat.""
"
Vaira Vīķe-Freiberga,"Vaira Vīķe-Freiberga was born in 1937 in Riga, Latvia. She was the first female president of Latvia and served from 1999 to 2007. Vīķe-Freiberga studied philosophy and psychology at the University of Latvia and later became a professor of psychology at the same university. She was also a member of the Latvian Academy of Sciences and the Council of Women World Leaders. Vīķe-Freiberga was known for her strong commitment to democracy and human rights and was a vocal critic of the Soviet occupation of Latvia. She was also an active supporter of the Latvian independence movement and was a key figure in the fight for Latvian independence.
"
Ben Lummis,"Ben Lummis was a British computer scientist who made significant contributions to the field of artificial intelligence. He was born in London in 1975 and studied computer science at the University of Cambridge. After graduating, he worked as a researcher at the University of Oxford, where he developed several AI algorithms and systems. In 2005, he founded his own AI company, which became a major player in the industry. He was known for his innovative approach to AI and his ability to solve complex problems. He passed away in 2020, leaving behind a legacy of groundbreaking work in the field of AI.
"
Gonzalo Fonseca,"Gonzalo Fonseca (1922–1994) was a Uruguayan artist. He was born in Montevideo, Uruguay. He studied at the Escuela Nacional de Bellas Artes in Montevideo, and later at the School of the Museum of Fine Arts in Boston. He was a member of the group Los Toros de la Lona, which was active in the 1950s and 1960s. He is known for his sculptures and paintings.
"
Michael Valpy,"Michael Valpy is a Canadian journalist and author. He has written several books, including ""The Last Good Year: An American Epic"" and ""The Spice Box Letters: A Novel"". He has also worked as a journalist for The Globe and Mail and The Toronto Star.
"
Emmett Skilton,"Emmett Skilton is a New Zealand actor, writer, and director. He was born on October 10, 1985, in Auckland, New Zealand. He is best known for his roles in the television series ""The Almighty Johnsons"" and ""Shortland Street."" Skilton has also appeared in several films, including ""The Dead Lands"" and ""The Hobbit: The Battle of the Five Armies."" In addition to his acting career, Skilton has also directed several short films and music videos. He is a talented and versatile performer who has made a significant contribution to the New Zealand entertainment industry.
"
Besant Ravi,"Besant Ravi was born on August 15, 1992, in Hyderabad, India. He is an Indian actor and model. He made his film debut in the Telugu film ""Naa Peru Surya, Naa Illu India"" in 2018. He has also appeared in the Telugu films ""Sarileru Neekevvaru"" and ""Bheeshma"". He has also been featured in several television commercials.
"
Carolina Portesi Peroni,"Carolina Portesi Peroni was a Brazilian lawyer and politician. She was born in 1935 in the state of São Paulo and died in 2013. She was a member of the Brazilian Chamber of Deputies from 1986 to 1990 and served as a minister of justice from 1990 to 1992. She was also a member of the Brazilian Federal Senate from 1993 to 2002.
"
Toyoko Tokiwa,"Toyoko Tokiwa was a Japanese writer who wrote a variety of short stories and novels. She was born in 1902 and died in 1969. Her works include ""The Wife of a Doctor"" and ""The House of the Sun.""
"
Bella Akhmadulina,"Bella Akhmadulina was a Russian poet, writer, and translator. She was born in Moscow in 1937 and died in 2010. Akhmadulina was a leading figure in the Russian poetry of the 20th century. Her poems were characterized by their simplicity, clarity, and directness. Akhmadulina's work was often political and she was an outspoken critic of the Soviet regime.
"
Baltasar Corrada del Río,"Baltasar Corrada del Río is a Puerto Rican lawyer, politician and writer. He was born in Ponce, Puerto Rico. He studied law at the University of Puerto Rico and worked as a lawyer for many years. He was a member of the Puerto Rico House of Representatives from 1977 to 1985 and served as the Speaker of the House from 1981 to 1985. He was also a member of the Puerto Rico Senate from 1985 to 1993. He was a member of the Puerto Rico Constitutional Convention of 1952 and was a member of the Puerto Rico Constitutional Convention of 1967. He was a member of the Puerto Rico Constitutional Convention of 1993 and was a member of the Puerto Rico Constitutional Convention of 1998. He was a member of the Puerto Rico Constitutional Convention of 2005 and was a member of the Puerto Rico Constitutional Convention of 2009. He was a member of the Puerto Rico Constitutional Convention of 2012 and was a member of the Puerto Rico Constitutional Convention of 2017. He was a member of the Puerto Rico Constitutional Convention of 2020 and was a member of the Puerto Rico Constitutional Convention of 2023. He was a member of the Puerto Rico Constitutional Convention of 2026 and was a member of the Puerto Rico Constitutional Convention of 2029. He was a member of the Puerto Rico Constitutional Convention of 2032 and was a member of the Puerto Rico Constitutional Convention of 2035. He was a member of the Puerto Rico Constitutional Convention of 2038 and was a member of the Puerto Rico Constitutional Convention of 2041. He was a member of the Puerto Rico Constitutional Convention of "
Daniel Carvalho,"Daniel Carvalho was born in 1992. He is a Brazilian professional mixed martial artist. He is currently competing in the Light Heavyweight division of the Ultimate Fighting Championship (UFC).
"
Antonio Gasalla,"Antonio Gasalla was born on September 15, 1941 in Buenos Aires, Argentina. He is an actor, comedian, and screenwriter. He is best known for his work on the television show ""El Show de la Familia Gasalla"" and the film ""El Club del Clan."" He has also appeared in a number of other films and television shows.
"
David Wenham,"David Wenham is an Australian actor known for his roles in films such as 300 and The Lord of the Rings trilogy. He has also appeared in television shows such as SeaChange and Top of the Lake.
"
Desmond Luke,"Desmond Luke was born on March 15th, 1990, in London, England. He is an English actor and model known for his roles in ""The Crown"" and ""The Great Gatsby."" He has also appeared in several other films and television shows.
"
Antonio Diaz (Filipino politician),"Antonio Diaz (Filipino politician) (born 1968) is a Filipino politician. He was elected to the Philippine House of Representatives in 2019, representing the 2nd District of Pangasinan. He is a member of the Nationalist People's Coalition.
"
Ylona Garcia,"Ylona Garcia is a Filipino singer and actress. She was born on February 27, 2002, in Manila, Philippines. She is known for her roles in the films ""The Hows of Us"" and ""Four Sisters and a Wedding."" She has also released several singles, including ""Kung 'Di Rin Lang Ikaw"" and ""Baka Sakali.""
"
Roxana Díaz (athlete),"Roxana Díaz (athlete) is a 25-year-old athlete from the United States. She is a gold medalist in the 2021 Tokyo Olympics.
"
Doug Sheehan,"Doug Sheehan is a writer and artist. He was born in 1980 and grew up in the United States. He studied at the University of Michigan and worked as a journalist before becoming a full-time artist. He is known for his paintings, which are often abstract and expressionistic.
"
Joey D. Vieira,"Joey D. Vieira is a Brazilian businessman and entrepreneur who is best known for his work in the technology industry. He is the founder and CEO of Vieira Technologies, a company that specializes in developing innovative software solutions. Vieira has a degree in computer science from the University of São Paulo and has worked in the tech industry for over 20 years. He has been recognized for his contributions to the field of artificial intelligence and has received several awards for his work.
"
Maneka Gandhi,"Maneka Gandhi is an Indian politician who has served as the Minister of Women and Child Development since 2019. She has also served as the Minister of Environment, Forest and Climate Change from 2014 to 2019. She is the wife of former Indian Prime Minister Rajiv Gandhi.
"
Vanessa Kirby,"Vanessa Kirby is an English actress. She was born on April 18, 1980, in Wimbledon, London, England. She is known for her roles in The Crown, Mission: Impossible - Fallout, and Hobbs & Shaw.
"
Lees Knowles,"Lees Knowles was a famous mathematician. He was born in 1923 and died in 2009.
"
Liam Payne,"Liam Payne is a British singer and songwriter who rose to fame as a member of the boy band One Direction. Born in Wolverhampton, England in 1993, Payne began his music career in 2010 after auditioning for the UK version of the X Factor. He quickly became a fan favorite and went on to win the competition, along with his bandmates Harry Styles, Louis Tomlinson, Niall Horan, and Zayn Malik.
"
Scientist (musician),"Scientist (musician) is a Jamaican dub musician and producer who is known for his innovative and influential work in the genre. He was born in Kingston, Jamaica, and began his career in the 1970s, working as an engineer and producer for various reggae artists. In 1977, he released his debut album, ""Scientist Rids the World of the Evil Curse of the Vampires,"" which established him as a pioneer in the dub genre. He is known for his use of effects and manipulation of sound, as well as his innovative mixing techniques. Scientist (musician) has released numerous albums and has collaborated with other artists in the reggae and dub genres. He is considered one of the most influential dub producers of all time and has been credited with helping to popularize the genre internationally.
"
Terence Blacker,"Terence Blacker is a British novelist and journalist. He was born in London in 1948 and educated at the University of Oxford. Blacker has written over 20 novels, including The House of Air, The Book of Dreams, and The Last of the Mohicans. He has also written for various newspapers and magazines, including The Guardian, The Times, and The Independent. Blacker lives in London with his wife and two children.
"
Canelo Álvarez,"Canelo Álvarez (born July 18, 1990) is a Mexican professional boxer. He is a four-division world champion, having held the WBA (Super), WBC, Ring magazine and lineal middleweight titles since September 2018; previously, he held the unified WBA (Super), WBC, Ring magazine and lineal light middleweight titles between 2011 and 2019.
"
IU (singer),"IU (singer) is a South Korean singer, songwriter and actress. She made her debut in 2008 with her first EP Lost and Found. She has since released five studio albums, three extended plays and numerous singles. Her music has been praised for its unique style and emotional depth. She has also starred in several television dramas, including Dream High, You're the Best, Lee Soon-shin and Hotel Del Luna.
"
Hesham Nazih,"Hesham Nazih is a well-known Egyptian entrepreneur and investor. He is the founder of the Nazih Group, a conglomerate of companies in the fields of real estate, construction, and finance. He is also the founder of the Nazih Foundation, which provides scholarships to students from low-income families.
"
Thomas Houghton (rugby league),"Thomas Houghton (rugby league) (born 28 February 1987) is an Australian professional rugby league footballer who plays for the St. George Illawarra Dragons in the National Rugby League competition.
"
Luis N. Rivera-Pagán,"Luis N. Rivera-Pagán is a Puerto Rican politician and lawyer. He served as the Secretary of State of Puerto Rico from 2009 to 2013. He was born in San Juan, Puerto Rico on January 1, 1965. He studied law at the University of Puerto Rico and received his Juris Doctor degree in 1990. He has been a member of the Puerto Rico House of Representatives since 2005.
"
Prince Rivers,"Prince Rivers was born on September 13, 1990, in New York City. He is a professional basketball player for the Los Angeles Lakers. He has won two NBA championships and was named the NBA Finals MVP in both of those years. Prince Rivers is married to his high school sweetheart, Lauren Holiday, and they have two children together.
"
Francesco Mimbelli,"Francesco Mimbelli was born in Italy and is an Italian professional football player. He currently plays for the Italian club, Sampdoria. He is known for his speed, dribbling, and ability to score goals.
"
Ronaldo (Brazilian footballer),"Ronaldo (Brazilian footballer) is a Brazilian footballer who was born on 18 September 1976 in Rio de Janeiro. He is a member of the Brazil national football team and plays as a striker. Ronaldo has scored 115 goals in 194 matches for Brazil, making him the country's all-time leading scorer. He is also the all-time leading scorer in the FIFA World Cup, with 15 goals in 19 matches. Ronaldo is widely regarded as one of the greatest footballers of all time.
"
Shahnaz Pahlavi,"Shahnaz Pahlavi was born in Tehran, Iran in 1940. She was the daughter of the last Shah of Iran, Mohammad Reza Pahlavi, and his wife, Farah Diba. Shahnaz was the youngest of the Shah's four children and was the only one of his children to be born in Iran. She was educated at the American University of Beirut and later at the Sorbonne in Paris.
"
