name,answer
Marianne McAndrew,"Marianne McAndrew (born November 15, 1941 in Omaha, Nebraska) is an American actress. She was crowned Miss Nebraska in 1962 and represented Nebraska in the Miss America pageant. As an actress she was best known for her frequent appearances on the 1960s sitcom I Dream of Jeannie, and co-starring in the 1978 comedy film Greased Lightning. A beauty winner in the Miss Nebraska pageant, McAndrew came in 3rd in the 1962 Miss America pageant. She appeared in several episodes of I Dream of Jeannie, and in the films, How to Frame a Figg, and Hysterical, as well as television show episodes of McKeever & the Mrs., The Love Boat, and Emergency!. She appeared in numerous television commercials including the original Pepto-Bismol commercial, Listerine, Frito-Lay, Sunsweet Pineapples and Nescafe
"
Keita Kadokura,"Keita Kadokura (in Japanese, 門倉 慶太, pronounced: [kɑdokɯɾa keːta]) (born in 1973 in Aomori Prefecture, Japan) is a manga artist whose works are published in Japan and Europe. He began his career in 1996 with the short comic strip Uzainushi Nakarimono Hibi. His most important work to date is the long-running Sgt Frog series, which is based on a manga he started with Masahito Soda, a member of the Japanese anime industry, in 1995. Sgt Frog was serialized in Kodansha's Weekly Shonen Magazine, under the supervision of Akira Toriyama, the creator of Dragon Ball. The Sgt Frog comics were adapted into a successful Japanese anime TV series.
"
John Estes,"John Estes (June 2, 1839 – October 29, 1918) was an American soldier who served in the Union Army during the American Civil War. He was the brother of Confederate General Joseph O. Shelby. Born near Liberty, Missouri, Estes enlisted in the Union Army as a corporal of Company E, 6th Missouri Volunteer Infantry Regiment of the famed Iron Brigade on August 28, 1862. He was promoted to sergeant on October 22, 1862 and first sergeant on June 19, 1863. He was again promoted to the rank of first lieutenant in the 19th Kentucky Cavalry Regiment (United States) on April 6, 1865. Although he served in many battles, Estes became famous when his company was charged with defending the Union position at Devil's Den on July 2, 1863, the second day of the Battle of Gettysburg. His company was surrounded and he was wounded by a bullet that broke his left leg. After being struck, he said; ""What is the meaning of this shot? A.J. Sullivan, is this the best you can do? Well, that's nothing."" He was shot at the Battle of the Wilderness on May 5, 1864. He died at his residence in St. Louis in 1868 at the age of 65.
"
Oliver Letwin,"Oliver Letwin (born 19 February 1956) is a Conservative Member of Parliament in the United Kingdom of Great Britain and Northern Ireland and a Cabinet Minister. He has been the Member of Parliament (MP) for West Dorset, England, since 1997. He has been shadow Chancellor of the Exchequer since 2009. Previously he had been the Shadow Home Secretary.
"
Ram Gopal Varma,"Ram Gopal Varma (born 7 April 1962), is an Indian film director, documentary filmmaker and screenwriter notable for his works in Telugu cinema in addition to Bollywood, his films are noted for their gritty realism, technical flourish, and stylish cinematography. Often regarded as one of the finest experimental filmmakers in contemporary Indian Cinema, his films require strong performances, which are well critiqued by critics and audiences alike. Varma has also worked with some of the notable filmmakers of Indian cinema such as Mani Ratnam, Sanjay Leela Bhansali and Karan Johar. Varma started his career as an assistant to Mani Ratnam in 1986 and worked in a minor capacity on Roja (1992) and Bombay (1995), and in a directorial capacity on Kshana Kshanam. Later he shifted to direction with a Kannada film in 1993. His following film Raat, was an unreleased Tamil film he had shot before Shiva. His debut Hindi language film was in the year 1998, and was named with Sangeeta Srivastava (a Bollywood actress). He directed Kshana Kshanam (1993). Raat (1993), Daudia (1998), Definite (1998), Shiv Kumar (1998), the biographical film on the life of Vijai Vijay Kumar and the Indian cricketer (1998). Srivastava (1998), Biographical name (1998, 198, Srivastava Srivastava I'm Srivastava Srivastava (name.
"
James Taylor,"James Taylor (born March 12, 1948) is a former American football player. He played college football for the University of Notre Dame, and professionally in the National Football League for the Washington Redskins, Tampa Bay Buccaneers and New England Patriots. He played in Super Bowl XX with the Patriots. He was drafted by the Redskins in the second round of the 1971 NFL Draft and played nine seasons with the club. Taylor earned a spot on the Pro Bowl roster following the 1976 season and served as a reserve linebacker on the NFC squad the following year. He had a total of 17 interceptions in his tenure with the Redskins and returned one for a touchdown against the Minnesota Vikings in 1976. He began his career as a center/linebacker, but moved to linebacker in 1973. He began to gain notoriety for his role in the NFL's ""Sack Saturday Night"" program. Sack Saturday Night was the Redskins' weekly television feature in which James Taylor or Diron Talbert would interview the defensive players for the week's game (NBC Sports). He was the last player out of the six Redskins players to leave from Sack Saturday Night. The program was later shortened and changed into a 100-second video with Talbert and Taylor. Taylor retired from the Redskins.
"
Joeri Adams,"Joeri Adams is an academic and Belgian politician. Adams has been active in the Flemish Movement. He obtained his PhD in history in 1977 with a work about the Flemish National Union that became essential reading on this subject. From October to December 2007, Adams, a professor, taught a course at Boston College. During the 2010-2011 academic year Adams taught at McGill University, Canada. Adams lectured on the ""History of International Politics Since World War II."" As a professor at Universiteit Antwerpen, he taught ""Geschiedenis van de Nieuwe Werelddriek"" (""History of the Cold War"") and ""Europese Economie en Politiek"" (""European Economy and Politics"").
"
Cha Seung-won,"Cha Seung-won (born Kim Jae-won, 26 May 1976) is a South Korean actor. Seung-won made his debut as a model in 1992, and his movie debut in 1995 with The Blue, which he and his sister Kim Ji-won starred in a romance melodrama. Seung-won then joined SM C & C, which is currently a subsidiary of SM C&C.
"
Ko Itakura,"Ko Itakura (born 18 December 1994) is a Japanese gymnast. She competed at world championships, including the 2013 World Artistic Gymnastics Championships in Antwerp, where she helped Japan reach the team finals for the first time since 1974. She is considered to be one of the best gymnasts in Japan, and one of the favorites to win the all around. She is from Kanagawa. In the Junior All-Around event at the 2013 World Gymnastics Championships, Itakura ranked third, winning an individual bronze medal in the Uneven Bars. Prior to the 2013 World Gymnastics Championships, she won five medals at the 2013 Pacific Rim Gymnastics Championships, including three gold, in the Uneven Bars, Balance Beam, and All Around and two silver, in the Vault and Floor. At the 2014 Asian Games, she won five medals, including three gold and two silver.
"
Siti Rahmah Kassim,"Siti Rahmah Kassim (April 5, 1937 - May 1, 1995) was a Malaysian politician who, in 1972, became the first Malaysian woman to be elected to the Malaysian federal Parliament. After her term, she was made the first woman Federal Minister and Deputy Prime Minister in 1978. She is the first Malaysian to have held that office. Siti Rahmah was born in Penang on April 5, 1937. She was the fifth-born of eight children from an Islamic Indian Muslim family. Her father was a member of the Indian Civil Service who also served as the Secretary General for the Federation of Malay States Board of Education, and her mother was a teacher at a Malay school in Penang. Siti Rahmah's paternal grandfather, Maulana Muhd Noor Kassim, had been the Secretary of the Federation of Malaya. Siti Rahmah's paternal grandmother was a prominent Kuala Lumpur socialite who organised a number of events at the Selangor Club throughout the late 1950s and early 1960s which Siti Rahmah was a guest of. She attended the Convent Bukit Damansara, an elite boarding school located in Cheras. She eventually graduated from the school, after completing O Levels and A level exams with distinctions in Principles of Biology. She later was known as a teacher. She received a scholarship to complete her studies and a student of the College of Medicine of Medicine student of CUM. SIT's name. Siti? name. You a new hire new new new new student College of Medicine medicine doctor and a?
"
Andreas Kisser,"Andreas Kisser (born Andreas Rodrigues Kisser, 1968, São Paulo, Brazil) is the lead guitarist for Sepultura, formed in late 1983 by his brother Max Kisser and the former vocalist of the band Sarcofogo, Paulo Jr Kisser. He has been in Sepultura since 1985, and in recent years has become a solo artist as well. His first solo album, Hubris I & II, was released on September 4, 2007, and a tour in support of it commenced two days later. It was announced that the band Sepultura plans to create another live CD and DVD. In response, Kisser was quoted as saying """"I believe that this time there will be a lot more tracks from the new records, I think we have to do both of us."""". Andreas Kisser is a member of the band Sepultura, one of the best-selling thrash metal bands. Though Kisser was not on the first album in 1984, he joined the group in 1987, and was with them through the 1992-2006 period. He was not working in that band, while his brother Max Kisser had been working to produce a new album. That is what Andreas Kisser said about that album. 09
"
Sharad Kumar (athlete),"Sharad Kumar (athlete) (2 January 1966 – 12 March 2007) was an Indian athlete who took part in the 2000 Sydney Olympic Games. He was killed on the eve of the closing ceremony of the 18th Commonwealth Games, along with his friend Anil Aggarwal, near a temple in Sector 18 of Gurgaon. The driver of the car, who was later identified as the son of Sector 12 MLA, is alleged to have rammed their car at 60–80 km/h. The Haryana Government ruled that he was drunk at the time. The Haryana police arrested him for causing death due to drunken driving and destroying evidence of the accident. He was also booked for murder. The Delhi police booked him for culpable homicide not amounting to murder. The Delhi police had booked him for causing death due to dangerous driving. The Delhi police had filed a chargesheet and produced him after 15 days in court on 30 March. In April 2006, a sessions court in Delhi sentenced Gadoli to rigorous imprisonment for seven years for causing death due to dangerous driving. This is the first conviction under the new section (338-E of the Indian Penal Code) in India's code that criminalised this offence with dangerous driving a rigorous imprisoned offense for seven years. In India's section 94 offense.
"
Idriss Ngari,"Idriss Ngari (born 12 April 1972, Abidjan - d. 28 October 2000 Cote D'Ivoire) was an Ivorian footballer who played for the Côte d'Ivoire national team from 1994 to 2000. He died from a traffic accident in his native country. Ngari played his entire club career with Africa Sports of Abidjan, which he coached for three seasons. Ngari was a member of the Côte d'Ivoire squad which won the 1995 CEDEAO Cup (WAFF). In the 2000 AFCON, he scored what proved to be the winning goal in a 1-0 extra time victory for Côte d'Ivoire over Nigeria in the quarterfinal; the Nigerians had only just come into the competition as a replacement for a boycotting South Africa team.
"
Gerhard Fischer (inventor),"Gerhard Fischer (inventor) (1891–1975) (or Dr. Gerhard Fischer) was a German physicist, the author of several patents for novel devices and instruments, the inventor of the Fischer truncapillary column, and director of the spectroscopy department at Siemens-Schuckertwerke, Berlin, until 1936. He then became professor for optics at the Technical University of Berlin at which he was Director of the Institute for Physical Optics. He was one of the leading spectroscopists in the world, inventing new and improved techniques including the Fischer truncapillary column. He was also active as author and collaborator to many standard reference works, in particular to Becker's Handbuch about spectroscopic methods, which was revised into the Becker-Fischer Handbuch. With Erwin Meyer he wrote the 162-page, three-fold-sheet (1929!) Becker-Fischer Method of Spectral Calcimetry (1933) and Becker-Fischer Guide to Spectrophysical Calibrations of Spectroscope and Photometer (1934), and a textbook Chemical Applications of Spectroscopy (1940).
"
Katsunosuke Hori,"Katsunosuke Hori (born June 1876, died June, 1956) was a Japanese general and politician. Hori came from the city Fukuoka, and graduated from Tokyo Imperial University with an Agricultural Engineering degree. He was elected to parliament as a member of Kenseikai in 1922, and re-elected in 1924 and 1925. Hori joined the Kakushin Club in 1926, and led the Kakushin Reform Party during those turbulent years leading up to the death of Hirohito. He became a member of the Privy Council in 1929 where his ideas for national revival played a major role in the restructuring of Japan after the defeat by the allied forces.
"
Zelma Wilson,"Zelma Wilson (born August 9, 1928) is an American politician from Alaska. With her election in October 1982 to the Alaska Legislature, she was the first black member of the state Legislature. She was born in Cleveland, Ohio, and raised in Brooklyn, New York. She moved to Alaska in 1971 to be with her daughter, after her divorce from her husband. She was hired at the Veterans Administration office, but she soon transferred to the United States Postal Service. In 1978 she was elected to the Central Council of the Alaska Federation of Natives, becoming the second female African American member of the Council. In 1982 she ran for the Alaska House of Representatives and won. She was the first African American legislator in Alaska since its statehood, but she was soon followed by the second, Dr. Gerry Otwell, another African-American legislator. Wilson's term ended in 1983, when she retired, partly due to poor health.
"
Adil Rami,"Adil Rami (born 27 September 1985 in Marseille) is a French football defender, currently playing for Olympique de Marseille. He is a defender of wide range of abilities and is comfortable with both feet. During his time at Lille, he was called a defensive general by their supporters and was a key player in Lille winning the 2010–11 Ligue 1 and reaching the 2011 Final of the Europa League, eventually losing to Portuguese club Porto. He was also included in the team of the tournament, which he won, with one of the most efficient and solid defensive performances seen throughout the competition with just two goals conceded in a total of six matches. Born in Marseille to Moroccan immigrants, he stated in late 2010 that he had not yet decided on who to represent internationally, having previously played friendly matches for both The Netherlands and France.
"
Richard Burkewood Welbourn,"Richard Burkewood Welbourn (September 4, 1862 – July 22, 1948) was an American lawyer and Republican politician who represented Maine in the U.S. House of Representatives from 1921 to 1931. He was also the United States Ambassador to Belgium from 1933 to 1938. Richard Burkewood Welbourn was born in Calais, Maine. He was the son of Isaac Welbourn and Mary Elizabeth Welbourn. He attended local schools, graduating from Calais High School in 1882. He attended Bowdoin College in Brunswick and received his Bachelor of Arts degree there in 1886. While at Bowdoin, Welbourn was elected to the Alpha Delta Phi literary society and the Beta Theta Pi social fraternity. In 1889, he graduated from Bowdoin College Law School. Welbourn was admitted to the Maine bar in 1889 and began the practice of law with T. Herbert King and George F. Libby. In 1891, he became a member of the City Council. In 1927, Welbourn purchased the Katahdin Club in Calais. Welbourn began his political career as a member of the Maine House of Representatives from 1890 to 1895. He also served in the Maine State Senate for two years. (1895-1901 and the following year in 1903. This followed by the United States District of Maine by the Maine's district 02, please. United please by the District of Maine's in the United States's please. please.
"
Miguel Díaz (baseball),"Miguel Díaz (baseball) (born February 5, 1985) is an American professional baseball pitcher who plays in the Philadelphia Phillies organization. Díaz was a member of the 2009 World Series championship Philadelphia Phillies. He spent the 2011 season with the Allentown Yellow Jackets of the Double-A Eastern League. Diaz started playing organized baseball at the age of eight years old, with a team located in Los Naranjas (literally, ""The Oranges""), a very popular baseball facility in Guadalajara, Mexico. He began his professional career in 2003. He played for the Philadelphia Phillies' triple-A team, the Scranton/Wilkes-Barre Red Barons. He was signed to a minor-league contract on January 26, 2004. He is the most recent example of a position player learning to pitch, and doing very well.
"
Teresa Palmer,"Teresa Palmer (born 26 February 1986) is an Australian actress and model who made her film debut in the suicide drama 2:37 (2006). She is known for playing the role of 'Amalthea' in Joss Whedon's science fiction thriller, Zack Snyder's 2009 film, and a prostitute / socialite in the 2008 thriller, The International. She is also known for having worked with Christian Bale and Heath Ledger on the drama The Imaginarium of Doctor Parnassus and with Kevin Spacey in the science fiction thriller, Beyond the Sky. She played Number 23 in the 2008 action thriller, Number 23. Palmer also starred as Talia al Ghul in the 2011/2012 action series, Justice League Unlimited. At Cannes International Film Festival in 2012, Palmer received the 64th Festival de Cannes Trophæe Chopard, presented by Karl Lagerfeld for her role in the road movie Wish You Were Here; and in early August 2012, Palmer and husband, actor Mark Webber, are scheduled to star in the crime drama, The Ever After. Palmer is currently starring in the drama thriller film, Kill Me Three Times, as well. Palmer had a role in the crime thriller, The Ever After. Palmer had a role in the crime thriller, The Ever Times film. His role as the Ever After, Palmer's daughter's family member's daughter's role's family member's a role as father's family member in his daughter's family member in your name's family member's role. You? I'm an intelligent to you Palmer a member's family member. (HMM: The Ever member's name
"
Gerardo Fernandez Fe,"Gerardo Fernandez Fe (born March 4, 1965 in Madrid) is a former Spanish basketball national player. Fe won the gold medal at the EuroBasket 1989, the silver medal at the EuroBasket 1993 and was part of the Spanish roster that won the silver medal at the 1992 Barcelona Olympics. Fe is considered one of the best Spanish players of all time. He also represented Spain at the 1994 FIBA World Championship. Fe is also a well known actor in Spain. In 2001, Fe took part in a stage play to honor former NBA player Drazen Petrovic, titled 'Dražen Petrovic el guardia astoriano' (Drazen Petrovic the Astonian). Fe was a member of Estudiantes, a Spanish club, for 13 years (1983–96). His longest stay for a club at that time. He is the all-time leading scorer. He retired in 2000, as Estudiantes head coach. Fe was the head coach of Estudiantes in 1999–2005. He is the current head coach for Unicaja Málaga. Fe is in his first season with Unicaja.
"
Augusto Martínez Sánchez,"Augusto Martínez Sánchez (born 12 June 1925) is a Mexican former sports shooter. He competed in the 1948 Summer Olympics, where he won a bronze medal in the team military rifle competition.
"
Chief Jones,"Chief Jones (born as Albert Jones on December 10, 1948) is a retired American football player. Born in East Orange, New Jersey, Jones attended South Side High School in Newark, New Jersey, where he played basketball and football. He was one of eight siblings and grew up in a Catholic household. His father was a merchant sailor which left him at an early age to help raise his several siblings. He was a first team All-State selection on both his junior and senior years in high school. Jones then attended the University of North Carolina, where he played for the North Carolina Tar Heels football team from 1968 to 1970. During his days at UNC, he was coached by Hall of Fame coach Bill Dooley and Hall of Fame linebackers coach Bill Pellington. A member of the track team as a sprinter, he was the first collegian to break 10 seconds in the 100 meters (9.9 seconds) and 20.01 seconds in the 200 meters. As a result of an injury, he was forced to shift from offense and defense to special teams. From that time until he left track, he would earn 2 letters (one in football and one in track) and is recognized as the 10th fastest player in the Atlantic Coast Conference during the 1968–1969 era. While participating in college he was named to the Atlantic Coast Conference’s 1968–1969 All-Conference 1st Team & 1970 NCAA Division I-A football conference championship 50s in the U.
"
Glover Teixeira,"Glover Teixeira (born May 22, 1979) is a Brazilian mixed martial artist who competes in the middleweight division of the Ultimate Fighting Championship (UFC). Teixeira has also competed for the Jungle Fight, Demolition and Shooto promotions. He is currently #12 in official UFC Middleweight Rankings.
"
George Cukor,"George Cukor (July 7, 1899 – January 24, 1983) was an American film director. He directed more than sixty actors to Oscar nominations, winner of three Academy Awards, and recipient of an honorary Academy Award. He directed some of the most renowned movie stars in Hollywood history, including Greta Garbo, Clara Bow, Judy Garland (in A Star Is Born), Katharine Hepburn, Ingrid Bergman (for whom he was the greatest champion), Audrey Hepburn, Jeanne Eagels, Joan Crawford, Bette Davis, and Lana Turner. His films, noted for their wit (“I’ve been dying to talk to you. Anybody that can bring out the best in Garbo is worth talking to. How’s George?”-- My Man Godfrey) and glamorous women, include The Philadelphia Story, Camille, Gaslight, Adam's Rib, and Holiday. His films—some with women in the starring roles--range from romance to tragedy to comedy, from Dinner at Eight to High Society. He made his directorial career directing Katharine Hepburn and Spencer Tracy in Adam's Rib. He was born in Manhattan, the son of German immigrant parents. He died at age of 83. He helped make Katharyn Hepburn the star of your film Adam's Rib. Why is that so many of us have not been in the world has had a massive impacts of climate warming is a massive warming
"
Chaim Malinowitz,"Chaim Malinowitz (died 20 January 1997) was an American musician, composer-lyricist, and director of choral music. He was born on November 16, 1912 in New York City, the youngest child of Avraham Kohn and Sarah Tilles. He wrote hundreds of songs for Jewish prayer. Many of the new melodies are based on ancient Hebrew and Yiddish songs he borrowed and adapted for use in the synagogue.
"
Marie Alexandrine Becker,"Marie Alexandrine Becker (born 1828, date of death unknown) was a French chemist active in the early days of photography. She was the first to develop the use of albumen, the protein from egg whites, as a photographic emulsion. By treating albumen in the presence of silver nitrate, Becker was able to produce a dry, stable light-sensitive film that could later be dampened and re-exposed, a key step in improving daguerreotype plates. Becker, working with Henri Victor Regnault, first discovered this method in 1849, and published the first results in the Annales de chimie et de physique, in 1851. She later published another article on her invention of this process in Gauthier, J.L.F., et al, Annales de chimie et de physique (1855), vol. 38:263
"
Lauren London,"Lauren London (born December 5, 1984) is an American actress and model.[2] She was cast at age 18 in the HBO series Entourage, and her television credits have included playing Christina in The Game, Kiera in 90210[3] (2010–2011), and Lil' Dini in Rizzoli & Isles (2014). She is currently on Tyler Perry's TBS comedy show For Better or Worse. London was featured on the cover of Complex magazine's January 2013 issue.
"
Harrison Ford,"Harrison Ford (born July 13, 1942) is the American actor and producer. He gained worldwide fame for his starring roles in the epic space opera Star Wars and in the Indiana Jones film series. Five of his films have been inducted into the National Film Registry, and in 2007 he was named among the 100 greatest movie stars of all time by Empire. In 2011, he was ranked as the third-highest U.S. domestic box-office star. Ford is also known for his work as a producer at Lucasfilm on the Star Wars and Indiana Jones film series, and as an environmental activist, having played a key role in the creation of the Preserve the Dunes nonprofit organization. Ford is the son of Dorothy (née Nidelman), a radio scriptwriter, and Christopher Ford, an actor and former actor's agent. Ford is Jewish and had a Bar Mitzvah; although his father was Protestant. Ford was educated at Maine East High School, in Park Ridge, Illinois. He was the drummer in a folk rock band called Susie and the Raindrops. Ford was an excellent student, and won a scholarship to study Philosophy at the University of Michigan by writing about the ""relationship between George Custer's relationship with the Sioux warriors"". He then moved to study at Michigan State before going to Ripon College. The first-choice is Harrison Ford, but he did not have to wait until 1942! There he found love, but he did have to move to Portishead, Illinois, where is a research scientist, he found love in Portishead the first is a drummer him to he is a research is a scientist is a research. As an expertise he is a research scientist is research is a scientist are you is me.
"
Dacre Montgomery,"Dacre Montgomery (born 17 November 1994) is an Australian actor. He is best known for portraying Jason Lee Scott in the Power Rangers film (2017) and Billy Hargrove in Stranger Things. He was also a series regular on Love, Lust and Heartbreak, a British anthology series that aired on Channel 4 in 2015. Montgomery will have a lead role in the Lifetime television mini-series Flight 7500, which is set to premiere on January 17, 2015. On 22 January 2019, it was announced Montgomery will appear as a character known as Prince Baird in the 25th Godzilla film.
"
Samuel Oboh,"Samuel Oboh (born 3 April 1987) is an English footballer who appears for Cray Wanderers (as well as their reserve side and in youth teams at age levels from the Under-13s to Under-19). He previously played for Dartford and Maidstone United, and has represented England at schools and Under-18 levels. Born in London, Oboh has a Nigerian heritage on the paternal side. He moved to Dartford when he was fourteen, and began to make his first-team debut shortly after, aged fifteen. He stayed at the club for two years (1999–2001), the second of which was spent entirely on trial with First Division side Leicester City. However when contract negotiations broke down, he left the club to study at Maidstone United. He signed for the Stones, but left after his course ended to join Dartford. He made several appearances before joining Cray Wanderers in the 2006–07 season, and since then has made over fifty appearances for the Cray; he has also played for the club in the Kent Senior Cup final, making one appearance.
"
Lina Medina,"Lina Medina (Spanish pronunciation: [ˈlina meˈðina]; born 23 September 1933) (registered at 24.3.1938) is a woman who, in 1939, at the age of five years, three months, and nine days, gave birth to a girl, named Gerardo, by Caesarean section at a medical clinic in the Peruvian village of Torata. Lina became the youngest confirmed mother according to the Guinness Book of World Records as of 2013, though this is not universally accepted. Lina was born in Huancavelica, Peru, the daughter of a local truck driver and his wife, both of whom had many sexual partners and had never used a birth control mechanism such as a condom, diaphragm or pill. According to Median and her mother, Lina's mother noticed she was pregnant and informed Lina, but Lina could not understand and it was not explained to her exactly what pregnant meant. According to Lina, her mother began by saying she was in the family way, meaning she was pregnant. Lina then began telling everybody she loved, who told her that only women could get pregnant. Lina stated one day that she would not get pregnant because children were put in her belly. However, her uterus grew. Although she is the youngest mother, she gave birth in the Peruvian village of Torata.
"
