name,answer
Marianne McAndrew,"Marianne McAndrew (August 7, 1919 to October 10, 1978) was an actress, most notable for her starring role in the horror film Bela Lugosi Meets a Brooklyn Gorilla. McAndrew was born in Wake Forest, North Carolina, the youngest of two daughters. She was named for film star Marian Nixon, whom McAndrew's mother met on the set of the 1931 film Sins of the Fathers. McAndrew's sister, Alice M. McAndrew, was the first woman to be a director on Broadway. Her other sister, Marie E. McAndrew, was another stage actress who later became a psychiatric social worker who worked with the elderly. As a child, McAndrew's hobbies included riding, sailing and playing tennis. She attended Chapel Hill High School and graduated in 1935.
"
Keita Kadokura,"Keita Kadokura (October 31, 1983 – April 1, 2013) was a Japanese professional wrestler and mixed martial artist. He was a former IWGP Junior Heavyweight tag team champion with Genki Horiguchi. He also competed in the IGF, and N-1. He died early on April 1, 2013 in Japan, at the age of twenty-nine, following a stomach ulcer surgery. He was posthumously named the Pro Wrestling Illustrated Rookie of the Year in 2006, and by All Japan Pro Wrestling a posthumous Triple Crown Champion.
"
John Estes,"John Estes (1937 - 1990) was a country blues pianist and singer, and a member of the Estes family of musicians. Born in Black Oak, Mississippi, Estes worked with B. B. King as the drummer in his band. He also played with Howlin' Wolf (for whom he wrote one of his most-recorded songs, ""Killing Floor"") as an early pianist. He recorded piano in recordings by Sonny Boy Williamson as well as sessions of Sun Records artist Johnny Burnette. Estes wrote many rock-influenced blues tunes in the 1950s and 1960s, and played a crucial part in the rise of hard rock, as he encouraged early rock musicians in Chicago such as Jimmy Reed. Muddy Waters, who later claimed to invent the slide guitar technique, played slide guitar on ""Big Town Playboy"" and ""Boom Boom"". Hip Hop’s Next Generation
"
Oliver Letwin,"Oliver Letwin (born 2 July 1956) is a British Conservative Party politician who was appointed to the Cabinet by Prime Minister Theresa May as a minister outside of the Cabinet in December 2016, with responsibility for civil society. Letwin contested the 1987 general election as the Conservative PPC for Orpington in north Kent, and was first elected to Parliament in 1997, for West Dorset. He was re-elected as the Conservative MP for Dorset West at the 2015 general election. He was one of 47 Conservative MPs who rebelled against David Cameron's proposal to remain part of the European Union in its current form, voting with the Labour Party in a key vote at the end of 2011. There are a few more examples of Letwin going against the party line, a few of which are in Letwin, The Autobiography:
"
Ram Gopal Varma,"Ram Gopal Varma (born 1951), better known as RGV (an initialism of his full names R. Gopal Varma), is an Indian film director, screenwriter and producer. He has directed over 30 feature films in Hindi, Telugu, Tamil, Oriya languages in Bollywood and Tollywood. Starting his career with his Kannada cinema debut 16 Vayathu Raja in 1986, RGV has since become known for hard-hitting themes, often involving violence, crime, and sex. His first Hindi feature film, the thriller Satyameva Jayate in 1999 was a critical and box office success. Most of his films involve crime and gangsters and have a serious undertone. Notable among those are Sadak Chhap, Daud, Rakta Charitra, Shiva - (film) and Rangeela. In 2012 RGV directed his first horror film Ragini MMS in order to revive the dying Ragini MMS 2 (2014), another horror film that was his second venture in the same genre.
"
James Taylor,"James Taylor (born March 12, 1948) is an American singer-songwriter and musician. One of the best-selling music artists of all time, Taylor has sold more than 100 million albums throughout his career. He was inducted by the Rock and Roll Hall of Fame and Musicians Hall of Fame. His forthcoming book is Fire and Rain: The Jim Taylorn Story, published by Flatiron Books in February 2016. Taylor is well known for his compositions and for his works with the Flying Machine, The King Bees and The Fabulous Crivers. His fourth album in 1970, Sweet Baby James, established him as a significant recording artist.
"
Joeri Adams,"Joeri Adams (born Joeri Adamsen in Rotterdam on July 4, 1940) is a Dutch actor, who is the son of the conductor Henk Stapel and actor and comedian Floor Adams. In 1940, during WWII, his family was forced to flee to France due to the German invasion of the Netherlands. After the war, they moved to Amsterdam and settled on the Schermer river bank outside of Amsterdam. The family spent their time outside of shows for their living. He made 25 films in his lifetime, including: Nibelungen fur (1957), De Koffer op de Dam (1968), Drama in H (1969), Minoes (1995), De Gullen Verven (2002), Mega Mindy (1999), Loenatik, Vrouwendrank (2009). After a long career, he retired from acting as an actor in 2009.
"
Cha Seung-won,"Cha Seung-won (born March 10, 1974) is a South Korean actor and singer. He made his debut as a member of the boy band Fin.K.L in 1998. He made his acting debut in the television series Delightful Girl Choonhyang (2005). He won the Outstanding New Actor at the 2006 KBS Drama Awards for his role in City Hall. After starring in the film, Good Morning President (2009), he became a popular name on the Korean entertainment scene.
"
Ko Itakura,"Ko Itakura (井高良), also known as the ""Blacksmith of the Samurai"" (兵士), was a Japanese blacksmith who worked in the service of Yasuie Shiraishi, lord of Aizu-Wakamatsu Domain in Northeastern Honshu. He was born a commoner (Edo: yōshitsu-sho), but due to his ability to use Western-style ironwork, he was appointed Lord Shiraishi's personal blacksmith and adopted and named as one of his family.[1] On July 10, 1867, the Shōgun Yoshinobu established the Tōkugawa Shogunate (Edo: Tokukawagun) and Itakura was sent along with a group of other blacksmiths to Japan as a present to Edo Genki, a younger brother of the Shōgun. He became an advisor to Edo Genki in the administration. The Blacksmith of the Samurai received the title Toshiyori. After the Meiji reforms in 1860, the samurai class was discontinued and he was sent back in the landowner. He is known as blacksmith the ""Toki Yoshinobu is said to have presented by"" Itakura.
"
Siti Rahmah Kassim,"Siti Rahmah Kassim (born 28 November 1963) is the Second wife of the 4th President of Malaysia. She is a dentist, and a mother of five children in total; two by her first marriage and three with her current husband, President Abdul Halim Kassim
"
Andreas Kisser,"Andreas Kisser (born December 12, 1968) is a Brazilian multi-instrumentalist best known as the lead guitarist for thrash metal band Sepultura. Born and raised in a family with roots in Italy but now living in Sao Paulo, Brazil, Kisser formed Sepultura in 1984 and has been the guitarist of the group ever since alongside drummer Igor Cavalera, whom he met while studying at school. Sepultura rose to international fame with their genre-defining, groundbreaking third album, Beneath the Remains. Sepultura is considered one of the most important bands in the history of extreme metal. They were also one of the founders of the first ""New School of Brazilian Heavy Metal"" movement, along with bands like Vulcano and Overdose, both from the state of Minas Gerais, another significant group in that scene which was known as ""Brasilian Heavy Metal"". The band's style of music has gone through various changes since it started. Their most recent sound is a mix of Groove Metal, Grindcore and Alternative Rock. In 2003, Kisser released the album Rock in Rio, a CD/DVD recorded and recorded live in Brazil. In August 5, 2013, Andreas Kisser released by Sepultura released the new CD/DVD recorded and on the fifth album live with the title of ""Chaos ad infinitum"". In the album that rock of life. Kiss-Rock in Rio, 2010 ad Alive"", a album, Chaos on the fifth of Life. He is Alive has no life your ticket to life. Kisser a live.
"
Sharad Kumar (athlete),"Sharad Kumar (athlete) (born 13 July 1990 in Mumbai, India) is an Indian archer competing internationally since 2006. He won the gold medal in the men's individual recurve division along with his team mates Tarundeep Rai and Rajat Chauhan at the 2010 Commonwealth Games. Sharad Kumar is coached by Jitu Kumar at Sanskriti Foundation's Archery Academy at Jalandhar and trained by Tarundeep at the same academy. He trains along with Tarundeep and Ravi Kumar at the archery academy established in his native place - Matheran, Maharashtra. He was 17 years old when he won the title but the 18-year-old Tarundeep Rai is now the current world number one recurve archer. Kumar secured a ticket for the 2008 Beijing Olympics after he beat the world number one Rong Guotai by 521 to 518 to qualify for the quadrennial Games in the final round of the 2007 world championships. Kumar took his first world cup title of his career at the same championships by defeating the world number one to a gold medal at the 2008 World Championship in India in 2006 and was the fifth at the 2006 - 2010 Asian Games in Doha, Doha Asian Games in Delhi, 2010 Asian Games.
"
Idriss Ngari,"Idriss Ngari (June 1, 1924 – July 25, 2007) was a member of the government of Somalia, heading the National and Regional Governments of the Intergovernmental Authority on Development (IGAD) member country of Djibouti, and the former Secretary General of the Organisation of Islamic Cooperation (OIC). Ngari served as Secretary General of the OIC from 1996 to 2004. He was one of the co-founders of the Intergovernmental Authority on Development (IGAD), as well as the founder and former Director General of the IGAD Regional Centre for Mapping of Resources for Development. From 1961 to 1968, Ngari was a Djiboutian diplomat, serving in various high posts at the United Nations and the Organisation of African Unity.
"
Gerhard Fischer (inventor),"Gerhard Fischer (inventor) (1912–1972) was an inventor, engineer and filmmaker who invented an airgun that fired.177 caliber (4.5 mm) lead pellets, as well as a camera attachment that doubled as a.177 caliber airgun. In 1962, he patented the first airgun camera attachment (which attached to the camera lens) capable of taking short video clips. A small button on the camera attachment that was released after a couple of seconds caused the airgun to be discharged, firing the pellet about a foot. The camera attachments were manufactured by Schaub-Lorenz and Zeiss and later became the forerunner of small air-powered pellet gun cameras. In his autobiography ""To Be or Not To Be...To Be"" (in 2008, on this website), Gerhard Fischer explains that initially he did not want his invention to be called an airgun. Since he felt airguns were associated with pneumatic guns and he did not want his camera to be associated with pneumatic cameras, he referred to his creation as a ""pellet/sniper"". Since then many ""airgun"" and pellet/sniper"" camera attachments have been called an ""airgun/pellet/sniper camera attachment"".
"
Katsunosuke Hori,"Katsunosuke Hori (born 16 November 1848 – 3 January 1893) was a Japanese author and dramatist. His main area of writing was historical fiction, as exemplified in his novels Ichi-Kasuga and Kojiki. Hori was born to a samurai family in Yokosuka, Kanagawa.
"
Zelma Wilson,"Zelma Wilson (July 28, 1927 – December 29, 2018) was an American Democratic Party politician from the U.S. state of Georgia. She is the widow of former Democratic Governor and two-time Democratic Presidential nominee Jimmy Carter. For two decades, she and her husband occupied the Georgia Governor's Mansion. They are the longest serving First Lady and Governor in the history of the United States. Zelma was born on July 28, 1927 in Plains, Georgia, to Mr. and Mrs. H.C. Vaughn. Vaughn's family, originally from Virginia, farmed and raised cotton and cattle. Vaughn was a Baptist who taught Sunday school at First Baptist Church in Plains. Vaughn, now known as the First Lady. His father was a Baptist deacon. Vaughn's father H. C. Vaughn is buried at Sunset Cemetery in Plains, Georgia. Zelma attended Plains High School. She graduated in 1945. She was Valedictorian in her class. She continued her education and studied home economics and social work. She was member of the Georgia National Society DAR at 620. She became Mrs. John H. Wilson. Zelma studied at University of Georgia. Zelma attended nursing, Georgia. When she attended on March 5, 1989. She was born on University nursing, Atlanta, Georgia University, Georgia. Zelma was born on May 1989. Zelma Coug
"
Adil Rami,"Adil Rami(born 28 December 1985) is a French international footballer who plays as central defender for Ligue 1 club Lille. He is also a member of the French national team. Born and raised in Saint-Denis, Rami began his senior club career at US Saint-Omer, which he joined at age 16. Rami remained six years, scoring four goals from 136 games and winning the 2006-07 Championnat National title with them. On 23 July 2007, the next professional team to sign him was Toulouse, but he only played a single season for them. This allowed Rami to join Marseille to spend the previous two season. He was named in the team's squads for the 2009 Trophée des Champions Match, the 2009 Trophée de France Match, the 2009–10 UEFA Europa League, the 2011 Coupe de la Ligue Final and the 2011 Super Cup Finals. From July 2011, Rami played for Qatari club Al-Gharafa, returning to France in the summer of 2011.
"
Richard Burkewood Welbourn,"Richard Burkewood Welbourn (24 May 1925 - 16 February 2006) was the twelfth Governor of Bermuda, holding the office from 1 July 1989 to 30 June 1997. The second-youngest of his family, he was the son of Edward Joseph Welbourn and Ellen Burkewood Welbourn, both natives of Braye House, Devonshire Bay, Bermuda. Richard attended Bermuda Public School, Southampton, Bermuda, and in 1934 was sent at the age of nine to boarding school at Ampleforth College, Yorkshire, England. He was educated at Ampleforth until 1943 and joined the British Army, serving until 1946, mostly in the United Kingdom. After military service, he attended Trinity Hall, Cambridge University from 1946 to 1949. After graduating from Trinity Hall he spent three months training at the British Army Officer Cadet Training Unit, Tidworth, Hampshire, England. By 1954, he was serving with the 9th Lancashire Fusiliers Regiment. Lt Col Welbourn served in Kenya, Ceylon, Zanzibar, Hong Kong, and Singapore until 1975, when he returned in Malta. He left the British Army in 1952, at the age of 1977, 78, 1970, 1979, 1972, 1972. ICELAND you do research and you will. 1997, you are you 1978, 192
"
Miguel Díaz (baseball),"Miguel Díaz (baseball) (born December 29, 1983) is a Mexican professional baseball third baseman in the Toronto Blue Jays organization. He has played 5 seasons in Mexican League. He was signed as an international free agent in 2002 and made his pro debut in 2003. He made his major league debut in 2009.
"
Teresa Palmer,"Teresa Palmer (born 26 February 1986) is an Australian actress and model known for films such as 2:37, Warm Bodies, The Sorcerer's Apprentice, I Am Number Four, and Triple Nine. She was born in Adelaide, South Australia. She made her film debut in December 2007, as the lead role of Robyn in 2:37. The film received a limited release in the United Kingdom in November 2008, and was released on DVD on 16 March 2009. The following month Teresa starred in a lead role in an adaptation of the novel Warm Bodies, an Australian zombie comedy-drama film. In Triple Nine, Teresa Palmer starred as Kate Wellesly a detective with homicide who stumbles into an underground sex trafficking ring. The film was directed by John Hillcoat and written by Matthew Michael Carnahan. Teresa next starred in the sci-fi film I Am Number Four with Alex Pettyfer, Callan McAuliffe and Dianna Agron. Teresa went from Australia film Warm Bodies, 22, I Am Number Four, and Triple Nine.
"
Gerardo Fernandez Fe,"Gerardo Fernandez Fe was a Cuban-American attorney and Florida political figure. He served as Speaker of the House of Representatives of Florida from 1994 to 1996. Gerardo Fernandez Fe was born in 1949 in Havana, Cuba. In 1964, he fled to the United States. Fernandez Fe received his Bachelor of Arts from Columbia University and his Juris Doctor from Florida State University. In 1988, he received a Doctor of Juridical Science from Barry University Dwayne O. Andreas School of Law. On July 19, 1994, Fernandez Fe was appointed Speaker of the House of Representatives of Florida by Governor Lawton Chiles. In addition, he was a Member of the Florida House of Representatives. In 1996, Gerardo Fernandez Fe ran for reelection to represent the 115th House district of Miami-Dade County. In 1998, He was again reelected. Fernandez Fe has served as President of the Florida Bar Foundation and as a board member of the Dade County Public School and Chairman of the Miami-Dade Civic Association. Fernandez Fe also won the 2000 Florida Bar President's Gathering. Fernandez Fe has also won the ""Legal Aid"". Fernandez Fe served on the Board of Directors. At the ""Legal Aid"". Fernandez Fe has served as a member of the Board of The 2000 Miami-Dade Miami' Fe have served as a support. Fernande has a SUPS? ACT, FIGHT. You work as an engineer. You have are You have SUP SUP.
"
Augusto Martínez Sánchez,"Augusto Martínez Sánchez (born 1927, Málaga, Spain) is a Spanish composer, journalist, and essayist. For decades, Martinez Sanchez was a prominent music critic writing for El País, with a column titled ""Más Música"". He wrote the music criticisms for the Spanish version of the newspaper Le Figaro between 1974 and 2008, also appearing on the show of the same name that the newspaper ran from 1989 to 1993. He was also the director of a documentary about the legendary Spanish composer Joaquin Rodrigo. He also wrote critical analyses of other topics, such as the 1956 Hungarian Uprising and the Falklands War. He has also been a regular participant on the political talk show Espejo Público hosted by Rafael Pascual. In May 1999, Martínez Sanchez was awarded the Gold Medal of the Generalitat of Catalonia, the highest civilian honour for foreign citizens. In 2013, he was awarded the Internationaler Österreichischer Komtur Goldenes Verdienstzeichen Österreich for his support for Austria on national and regional politics.
"
Chief Jones,"Chief Jones (born February 16, 1960) is a retired American football defensive tackle who played 14 seasons for the Buffalo Bills of the National Football League (NFL). He played college football for Alabama State University, was selected by the Bills in the 1985 NFL Draft, and played professional football from 1986 to 1999, all with the Bills. An 8-time Pro Bowler (1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996), Chief Jones played on three teams that went to the American Football Conference championship game (1990, 1993, 1994); his team won Super Bowl XXV, the only one of the season he did not play in. Jones also played on three teams that made the AFC Super Bowl (1993, 1995, and 1996). During his 14 seasons in the NFL, Montravius had 933 tackles and 38 sacks (all-time record for a Bills Defensive Tackle) in 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994: and 1995;
"
Glover Teixeira,"Glover Teixeira (born July 9, 1984 in Rio Claro, São Paulo) is a Brazilian boxer and the current World Boxing Association (WBA) Light Heavyweight Champion. Early life Teixeira began boxing at the age of 6. He won two titles during his amateur career (the 1994 and 1995 Junior Brazilian National Championships) and represented his country at the 1997 World Junior Championships. Glover had a tough start. He had moved to Pindamonhangaba, to live with his stepfather. He entered his first match in june 1998, and although he was expected to lose, he won a close three-round decision. Glover was a natural boxer with a good jab, fast hands, good footwork, and quickness, as well as a quick right and left. He liked to work from the outside, using his jab, his left and right hook, and uppercut. He was good at head movement, and worked smartly during his career. Glover fought with his hands raised high above his head when he threw his shots. In his professional debut, Glover beat a much bigger opponent. As a novice, he was considered a very promising prospect.
"
George Cukor,"George Cukor (August 7, 1899 – January 24, 1983) was an American film director of movies such as The Philadelphia Story (1940), Adam's Rib (1949), and My Fair Lady (1964). Cukor was born in New York City. His early education was private and he went to study art in Paris, where he lived until his return to the states in 1919. He began a career directing Broadway plays in 1923, and became one of the highest-paid directors of the 1930s. Cukor spent the 30s making movies in Hollywood on a regular basis, including a 1933 film version of The Barretts of Wimpole Street, in which Cukor met actress Joan Fontaine. Soon the two became romantically involved and were married in 1939. Cukor was openly gay during the 1950s and 1960s. Cukor's film work was often concerned with gender roles and sexuality. His 1943 effort, Gaslight, (from the play GasLight) was the subject of a book, and made the stage work available to a wider audience. Cukor was also interested in psychology. Cukor was the first film was an ada producer. He wanted a wife with a producer. Cukor was. Cukor was produced by Produced by and a book based on the play. The producer (2012. Cukor is the author.
"
Chaim Malinowitz,"Chaim Malinowitz (March 22, 1903 in Vilna – December 9, 1976 in Jerusalem) was a religious Zionist writer, publicist and historian of Jewish life and thought. He is considered a pioneer of Hebrew literary science. Malinowitz was the younger son of Moses Mendel Malinowitz, and the older brother of Rabbi Shlomo Malinowitz. He studied at a religious elementary school and later at the Lithuanian School of Vilna. He began to study seriously after the Sabbath at the time of Vilnius and its students (the Jewish yeshiva of Volozhin), and the works of Zalman M. Prager. From the age of 13 to 20 years Chaim Malinowitz worked as an editor of the Hebrew language daily ""Yom Tikhon"" (Vilna). From 1921 to 1923 he studied at the yeshiva ""Sarah Schenirer"" in Vienna. Together with his brother, he founded and edited the daily newspaper ""Magen Zion"" since 1923. From 1923 Chaim Malinowitz lived in Vienna.
"
Marie Alexandrine Becker,"Marie Alexandrine Becker (10 August 1916 – 27 July 2012) was a German opera singer. She sang mainly at theaters in Germany, but also in France, Austria, Scandinavia, the U.S. and Britain. She was a lyric soprano. Her career started very late, in 1949, at the Vienna State Opera under Hans Swarowsky. She sang at the Vienna Staatsoper until 1952. She moved to Munich, where she studied at the Munich Conservatory under Franziska Martz. She was at the Munich Staatsoper from 1954 until 1982. Her role debut was as Mimi at the Paris Opéra in 1952. In Munich, she sang many roles, including Gilda, Countess Almaviva, Konstanze, Chrysotis, Susanna, Agathe, Gershwin's Rhapsody in Blue (with Wolfgang Lerch and Karl Böhm) as well as many recitals in Munich, Stuttgart and Vienna. In 1952/1953 she also appeared in the first recording of the music of Strauss. Her discography with works from 1952 up to 1960. Her recording of Donizetti as ""Roberta"" and ""Lucia's"" ""Il barbiere (1953). She is. She works (1952–1960 - 1953 works, which is a ""Luci is a beams a human. You are welcome Research (1943
"
Lauren London,"Lauren London (born October 5, 1984 in Los Angeles, California) is an American actress and former model. She was first discovered by a scout at the tender age of 13, and soon after had her first acting job as a teenager on the soap opera Days of Our Lives. She has also worked on the small screen, making appearances in Boston Public, The Bernie Mac Show, and The Game and worked as a correspondent for the MTV show Jackass from 2002 to 2003. She has also made appearances in the music videos ""Street Dreams"" by The Dream (2007), ""I Wonder"" by Keyshia Cole (2009), ""Make Me Rich"" by W.C. and ""She Ain't Got Nothing"" by Maino. She is best known for playing the role of Keira ""Kiera Whitaker"" Whitaker in the BET series, The Game. The show, which debuted February 15, 2009, focuses on three childhood friends who are now in college, who are also basketball players on the women's game team. London's character is a student and a single mother of two young children, living in Santa Monica, California. In August 2011, London told the Associated Press that she was inspired by the former actress Janet Hubert to come back in the big day. Like her character, Kiera Whitaker, who was killed in a car crash. On 2005. She was injured in The Game. a car accident. She used by Hairnet
"
Harrison Ford,"Harrison Ford (born July 13, 1942) is an American actor. He gained worldwide fame for his starring roles as Han Solo in the original Star Wars trilogy and as the title character of the Indiana Jones film series. Ford is also known for his roles in several other popular films, including the psychological thriller The Fugitive, the legal drama Presumed Innocent, and the war film Air Force One. He is a seven-time nominee of the Academy Award for Best Actor, winning it in 1977 for his role in the disaster film and romantic drama, The Fords have included three actors. His son, Ben, is an actor and screenwriter, and his daughter, Georgia, is with model/actress Melissa Mathison (1950–2003), who was his wife from 1983 to her death in 2003. He married Ingrid Casares (born 1961) in 2010 and currently lives on his ranch near Jackson, Wyoming. He has six grandchildren: Malcolm (2001–July 17, 1999) and Georgia Ford (March 10, 1997). He has been nominated with the role of Indiana in the serials of action series. Indiana Ford 17446:16:41.9683 (January 30, 17440:41.461.947:17446:1741.461.46:17446;1746 17
"
