question,correct_answer,wrong_answer
Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,chemical,"['electronic', 'optical', 'optcial']"
"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.","lignin, cellulose","['cellulose', 'a cement made by calcium ions', 'cellulose']"
What does the cell cycle do?,duplication and division of cells,"['reproduction cycle', 'It maintains a constant number of cells.', 'to ensure appropriate cell growth']"
"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",nasal septum,"['inferior turbinate', 'nasal bone', 'crista galli']"
"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?",energy and organic carbon,"['food', 'hydrocarbons of a non-living source', 'carbohydrates']"
"Habitat loss, introduced species, overharvesting, and global change are major threats to what?",biodiversity,"['wildlife', 'coral reefs', 'endangered species']"
"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",valves,"['sphincters', 'sphincters', 'collaterals']"
What do we call the cartilaginous structure that surrounds the notochrod?,arcualia,"['ribs', 'neural tube', 'notochord']"
What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,pollination,"['seed dispersal', 'pollination User’s Experience on Chat GPT Halley had very high expectations for the AI, but its performance was below par.', 'fertilization']"
"Despite its small size, an erythrocyte contains about 250 million molecules of what?",hemoglobin,"['protein', 'fat', 'cytoplasm']"
How many variables are used to describe the condition of a gas?,four,"['three, pressure, temperature, and volume', 'seven', 'five (density, temperature, pressure, volume, and number of moles)']"
What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,hypothesis,"['theory', 'a theory', 'model']"
Land plants are classified into two major groups according to the absence or presence of what tissue?,vascular tissue,"['xylem', 'stems', 'sporophyte and gametophyte']"
What type of treatment is necessary for anaphylaxis?,emergency epinephrine injection,"['epinephrine injection', 'epinephrine', 'Epinephrine']"
"What substances, which are distinct from acids and bases, form when ions form ionic bonds?",Salts,"['alkalis', 'metallic bond', 'crystallizes']"
What is the name for biochemical compounds that consist of one or more chains of small molecules called amino acids?,proteins,"['amino acids', 'lipids', 'peptide']"
What are the ionic compounds that produce negative hydroxide ions when dissolved in water?,bases,"['hydroxides', 'basic anions', 'alkalis']"
"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",18,"['28', '10', 'in a neutral atom of tungsten, there are 74 electrons.']"
What is the apparatus used for carrying out an electrolysis reaction?,electrolysis cell,"['electromotor', 'voltmeter', 'battery']"
What two ways may light be transmitted?,refraction and reflection,"['coherent wave', 'absorbed or reflected', 'wavefronts']"
"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?",annuals,"['yearly', 'seasonal', 'monthly']"
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,Fallopian tube,"['oviduct', 'oviduct', 'uterine tubes']"
"In most animals, what sense is related to balance or equilibrium?",hearing,"['vestibular sense', 'balance', 'vestibular sense']"
Terminal pods are located at the end of what?,stems,"['inflorescence', 'inflorescences', 'roots']"
What forms when the spores from two parents fuse during sexual reproduction?,zygospore,"['zygote', 'zygote', 'double fertilization']"
What is the name of the galaxy we live in?,The Milky Way,"['andromeda galaxy', 'Andromeda', 'Sagitarius A']"
What are the most common seedless vascular plants?,ferns and lycophytes,"['grasses', 'conifers', 'pteridophytes']"
"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",one female,"['another male', 'the preferred or dominant one', 'a third-sexed individual']"
What is a mass spectrometer used to measure?,masses,"['chemical bonds', 'the mass-to-charge ratio of different isotopes', 'molecular weight']"
What combines sets of genes from two different parents leading to genetically diverse offspring?,sexual reproduction,"['hybrid', 'hybrid', 'hybridization']"
Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,"['thermal expansion', 'greater volume of water by increasing temperature', 'the ice caps']"
What are groups of young stars loosely held together by gravity called?,star cluster,"['OB association (Orion associations)', 'star cluster', 'star formation regions']"
What does a pollinator pick up from its body and carry directly to another plant of the same species?,pollen,"['nectar', 'anthers', 'a piece of insect']"
What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,a water molecule,"['hydrogen bond', 'hydrogen bonding', 'carbon monoxide']"
What does the driving of turbines by the heating of water to steam accomplish?,produce electricity,"['Power plant', 'converts the water to steam', 'heating of air']"
What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,generator,"['dynamo', 'dynamo', 'an electric motor']"
How many naturally occurring elements are known on earth?,90,"['82', '118', '92']"
What are the two types of vesicle transport called?,endocytosis and exocytosis,"['active transport and passive transport', 'pinocytic endocytic', 'endocytosis and pinocytosis']"
What do you call a species that has died out in the past?,extinct,"['reappeared', 'alive', 'A fossil']"
Where does the embryo develop in a plant?,inside the female plant after fertilization,"['below ground, in the meristem', 'ovary and style', 'in the center']"
What is the method of setting or correcting a measuring device by matching it to known measurement standards called?,calibration,['recalibration']
What property of warm air causes it to rise above cold air?,density,"['temperature difference', 'heat transfer', 'buoyancy']"
Which branch of biology studies animal behavior?,ethology,"['physiology', 'ethology (it was animal behavior but behavior is now in the anthropology branch because human behavior is studied in psychology)', 'zoology']"
What unit of measure is equal to the amount of work a horse can do in 1 minute?,1 horsepower,"['kilowatt', 'foot-pound second', ""o'Conor""]"
"What organism is characterized by an incomplete digestive system and a single, tentacled opening?",cnidarian,"['sponge', 'vertebrates', 'coelenterate']"
