question,answer
what is the fundamental theorem of calculus used for,"['For a finite-dimensional vector space, the fundamental theorem of calculus states that the exponential map, denoted exp, forms an isomorphism of the underlying abelian group with the Lie algebra of skew-symmetric matrices over the underlying field. :']"
what is the type of democracy in which all citizens have the right to make  government decisions,['Direct democracy is direct political rule by the citizens of a state.']
what relates to erosion,['Erosion means the destruction of the land due to natural cause.']
what is a letterbox movie,"['In filmmaking, cropping or framing means the inclusion of only a part of the total visual content of what can be potentially seen and recorded.']"
what is google openid,['Google OpenID is a service from Google that allows you to sign in with your Google Account.']
what state was john mccain a senator in during the 2008 election,"[""In 1980, McCain worked in the presidential campaign of Republican Ronald Reagan, serving as Reagan's regional campaign director of communications in the general election.""]"
what is a monarch to a monarchy,"['The most common is an autocracy, in which a single person, sometimes a king, an empress, or a sultan, has absolute power over the state, and the monarch holds the supreme power within the country, making and enforcing']"
how many humps on a camel,['One to three humps in a row on the back of a camel are normal.']
what type of ecosystem does stingrays live in,"['The stingray is a bottom-dwelling fish with one or more sharp, barbed stingers on its tail which it uses for self-defense and capturing prey. Though typically non-aggressive and often timid']"
what is a group of deer called,"['A herd is a large group of the even-toed ungulate mammals called artiodactyls, including the swine, peccaries, deer, antelopes, and many others.']"
what were 3 important things that douglas MacArthur did?,"[""Douglas MacArthur made many important contributions to the world of battle tactics, being in the right position at the right time, and being the first one to see what's ahead.""]"
when was How the west was won filmed?,"[""Released in November 1962, How the West Was Won was one of the last of the large-scale, big-budget wonders of the 1950s and of Hollywood's Golden Age in general""]"
what county is coatesville indiana located in,"['Coatesville is a town in Hendricks County, Indiana.']"
who has brad pitt dated,"['In 2005, Pitt began dating actress Angelina Jolie, after co-starring in Mr. & Mrs. Smith.']"
when did dr.carter g woodson die,"['Woodson was an African American historian, author, journalist, and founder of the Association for the Study of African American Life and History.']"
How Do You Play Spades,"[""To play a Spades bid: You and your partner decide what you're going to bid as a team. The two cards in each suit (from Ace to Ten) are worth 10 points each.""]"
what are some legal uses of meth,"['Today, methamphetamine is used illegally by people of all ages, genders, and economic and ethnic backgrounds.']"
what states allow same sex marriage,['Same-sex marriage is currently legal in 13 U.S. states and has been legalized in 5 other states via court decisions ; state-level legalization has occurred via popular vote in 3 states and via direct legislation']
what causes a small bowel obstruction,['Small bowel obstruction (SBO) is an interruption of the flow of intestinal contents.']
what county is jacksonville florida in,['Duval County (pronounced DEWVəl as in dew vial ) is the county seat of Jacksonville.']
what are some six sigma tools used,"['A 6 Sigma Project Charter is a document that outlines the six sigma project objectives and scope and the process of improvement. This project charter includes: project name, customer requirements and process map, as-is process performance,']"
who is suicide tna,"['Suicide was an American professional wrestling tag team composed of Matt Hardy and Shannon Moore, more known as Shannon ""Sugar"" Moore and Broken Matt Hardy.']"
what years was the 18th century,"['The 18th century (also known as the Age of Enlightenment ) lasted from January 1, 1701 until December 31, 1800 in the Gregorian calendar.']"
what is the purpose of child support?,"[""The purpose of child support is to give a child a chance at a better future even if the parents and the child's primary source of care and financial support are not together.""]"
what was the actress who played the pink power ranger,['The Pink Power Ranger is played by Thuy Trang']
what order is the moth,['The order Lepidoptera contains moths and butterflies (and includes skippers and moth-butterflies).']
what causes heart disease,"['Coronary heart disease is caused by a narrowing, through partial or mostly complete blockages, of the coronary arteries.']"
what is in a tequila sunrise?,['A Tequila Sunrise is a cocktail whose exact ingredients and origin are uncertain.']
who wrote the song hallelujah,"['A cover version titled "" Hallelujah "" by singer-songwriter Jeff Buckley appears on his posthumous 2007 album So Real: Songs from Jeff Buckley.']"
how is jerky made,"['Jerky is meat that has been trimmed of excess fat, cut into strips, marinated in or injected with a seasoned solution and either grilled or smoked.']"
what does hair testing show,"['Hair testing (also known as forensic fiber or yarns analysis) is typically used to find out whether particular pieces of hair originated from a specific creature, or to identify a criminal suspect or victim via their hair.']"
who made the matrix,"['The Matrix Reloaded is a 2003 American science fiction action film written and directed by the Wachowski Brothers and starring Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo']"
what does uncle sam represent to the american people,"['Uncle Sam is a common national personification of the US federal government or the country in general that, according to legend, came into use during the War of 1812.']"
how was the president involved in the gulf war,"['Bush gave the order to send troops to Saudi Arabia to ""deter further aggression by the Iraqi armed forces against Saudi Arabia"".']"
when to use semicolon,['The comma as a mark of division.']
how long to take iwo jima,"['The Battle of Iwo Jima ( ) took place in early 1945, and is also known as Operation Detachment.']"
who first synthesized heroin,"['Heroin was synthesized from morphine in 1874 by C. R. Alder Wright, who the process of synthesis appeared both novel and promising.']"
who makes skittles?,"['Skittles are chewy, fruit flavored candies.']"
what city was the convention when gerald ford was nominated,"['Ford (pictured) was not nominated by the New York delegation, and Rockefeller remained in the race for the nomination at the first ballot.']"
what is chep pallet,"['A pallet is a flat transport structure that supports goods in a stable fashion while being lifted by a fork lift, pallet jack, front loader, or other jacking device.']"
who are the members of the climax blues band?,['John Mayall & The Bluesbreakers.']
who is Dr. JB Danquah,['J. B. Danquah was the leader of the United Gold Coast Convention and editor of the influential newspaper The Gold Coast Leader.']
where is the tibia location,['The tibia (shinbone) is the larger of the two bones in the leg below the knee in those vertebrates that have a tibia.']
WHAT YEARS WAS THE C5 VETTE PRODUCED,['The C5 was produced in the North America market from 1997 to 2004.']
what was the name of the uss john kennedy before,['USS John F. Kennedy was an aircraft carrier which served the United States Navy from the 1960s until the 1990s.']
what is the latest season of psych,['Episodes are generally between 42–44 minutes long.']
what is the la tour de france,"[""The Tour de France is an annual men's multiple stage bicycle race primarily held in France, while also occasionally passing through nearby countries.""]"
What does Human sperm consist of?,"['There are four types of mammalian spermatogenesis, divided by their respective mammalian orders : monotremes, marsupials and eutherians.']"
what are the parts of plant stems?,"['Typically, stem diameter is largest in the region between the bud neck and the leaf base, but this may be greatly reduced in the event of injury or infection.']"
what is a D.O. stand for medical doctor,['The degree Doctor of Osteopathic Medicine is a graduate professional degree for physicians and surgeons offered by osteopathic medical schools in the United States.']
who is flo from progressive,"[""Progressive Insurance commercials are known for their use of the actress, comedian and screenwriter Stephanie Courtney in advertisements promoting coverage for Progressive's automobile, motorcycle and recreational vehicles.""]"
who invaded north africa during ww2,"['On February 14, in the Second Round, the Allied forces managed to cut off Axis supply lines to the besieged city.']"
what is a duvet cover used for,"['Duvet covers also come in a wide range of materials, with cotton and polyester at the budget end and linen and silk at the luxurious end.']"
what is doxycycline hyclate used for,"['Doxycycline hyclate is administered orally, typically as a monotherapy, for the treatment of infections due to susceptible strains of microorganisms that are considered to be of the highest priority.']"
what kind of school is MIT,"[""The Massachusetts Institute of Technology (MIT) is a private research university located in Cambridge, Massachusetts, often cited as among the world's most prestigious universities.""]"
what circuit court is maryland,['The Circuit Court for Baltimore City is the highest court in Baltimore City and is one of 24 circuits in Maryland.']
what year was President kennedy president?,"['John F. Kennedy, the 35th President of the United States, took office on, and was killed on.']"
when did texas become a state,"['The Texas Constitution was adopted in 1845, and Texas became the 28th state on December 29, 1845.']"
HOW MUCH IS CENTAVOS IN MEXICO,['The peso is the currency of Mexico.']
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"['In 1870, the first wave of blacks came to the Virgin Islands. These blacks were not African Americans, but blacks.']"
where fourth of july came from,"['A resolution of the Second Continental Congress, adopted on July 2, 1776, which declared the independence of the Thirteen Colonies from Great Britain, and announced the formation of a new nation, the United States of']"
how does a dim sum restaurant work,"['There are usually no set menus. When eating dim sum, the traditional greeting is 點吧 dÌ mà (""Eat up"") between the server and the customer.']"
where is the 2011 mlb all star game location,['The 2011 Major League Baseball All-Star Game was the 82nd midseason exhibition between the National League (NL) and the American League (AL).']
How many Muslims live in the United Kingdom?,"['The 2011 census recorded 2,814,193 Muslims (or 4.8% of the entire population ).']"
How long was Mickie James with WWE?,"['Mickie James was released on March 28, 2005, ending the feud. During an interview for WWE in 2005, she claimed that her release was a ploy to get to her former']"
what part of the earth's structure is believed to consist of tectonic plates,"[""According to uniformitarianism, the lithosphere's plates emerged as a result of processes beginning early in Earth's history, when the planet was about a billion years old.""]"
where do crocodiles live,"['Crocodiles can be found in Australia, Asia and Africa and in some parts of the Americas.']"
how many days are in a leap year,"['366 In the Gregorian calendar, a leap year is a year containing one additional day (or, in the case of years evenly divisible by 100, not containing it) in order to keep the']"
what is the definition of a map,"['A map is a symbolic, graphic representation of an area or volume, usually drawn on a flat surface such as a sheet of paper, or a rectangular sheet of cloth, and oriented to the scale of the thing represented.']"
what creates a cloud,"['Clouds are formed as a result of the water-air mixture accumulating moisture until the droplets become too heavy to be supported by the air beneath them, causing them to fall out of the sky as precipitation. :']"
when did ms .drgs go into effect,"['When the Medicare Access and CHIP Reauthorization Act of 2015, a bipartisan bill signed into law by President Barack Obama on April 16, 2015, replaced the SGR,']"
what are circumpolar constellations,['Circumpolar constellations are those that never set below the horizon for observers at a given latitude.']
what is the formula for calcium nitrate,"['In the laboratory, it is typically made from calcium hydroxide and nitric acid.']"
what is korean money called,['The won ( Hangul : 원 ; Hanja : 圓 ) is a unit of South Korean currency.']
Where does the word baptism come from,"['Baptism comes from the Greek word ""bapto"" meaning ""to dip, to immerse, to wash"". In Christian churches, it is a form of spiritual renewal and rebirth that is freely chosen by an individual believer']"
Where Elephants Live,"['The Asian Elephant s natural range includes both mainland Asia and the islands of Sumatra (Indonesia), Borneo (Brunei, Indonesia, and Malaysia), and Sri Lanka.']"
what religion is primary in africa?,"['As of 2001, Christianity was the largest religion in Africa with 46% of the population Muslim was the next largest religion of Africa with 34%.']"
what does alkali do to liquids?,"['Alkali metal compounds have a characteristic pungent smell, like ammonia.']"
what is in fruitcake,"['In the United Kingdom, fruitcake is made throughout the year and is usually eaten on festive occasions, especially Christmas.']"
where was martin luther born,"['Martin Luther born Michaelmas Day, 10 November 1483, was a German monk, priest, professor of theology, composer, pastor,']"
What are the lateral and median apertures of the brain?,['The lateral and mesial apertures allow the passage of blood.']
where do the mohawks live,"['The Mohawk people (/&#712; m ə ˈ h ɔ k /) or Ongwanonsionni (Seneca: Onyota\'a:ka, ""People of the Valley Towns""),']"
who sang momma told me not to come,"['The original version of ""Mama Told Me Not to Come"" was recorded in 1974 by R&B group Three Dog Night. The lead vocal was sung by Cory Wells, who had recorded a solo version of']"
when did ww1 end?,['The 1919 Paris Peace Conference led to the formation of several international organizations in Europe.']
what is the population of san francisco,"['With about one fifth of the states population, California is the most populous U.S. state, and the third largest sub-national entity in the world, after China and India.']"
where was hillary clinton born,"['Hillary Clinton Hillary Diane Rodham Clinton (born October 26, 1947) is the Democratic candidate for President of the United States.']"
what year did mexico gain independence from spain,"['During the Mexican War, American soldiers burned a church in the town to the ground; when the townspeople attempted to salvage the church bell, Santa Ana ordered the church to be burned with the bell inside.']"
what is the main component of vaccines,"['The main components of a vaccine include an agent that stimulates immunity and is usually an attenuated or killed microbe or viral protein, a vehicle or delivery system, and any additives, preservatives,']"
who created massey ferguson,"['Founded in 1847 as the Plough Works in a rented shop in Lutterworth, the company moved to 48 High Street, Coventry in February 1851.']"
who is basketball star antoine walker,"['Antoine Walker (born August 12, 1976 in Chicago, Illinois ) is a retired American professional basketball player who played in the NBA for sixteen seasons.']"
what year did isaac newton die,"['Sir Isaac Newton PRS (4 January 1643 – 31 March 1727) was an English physicist, mathematician, astronomer, natural philosopher, alchemist and theologian']"
what is a CMM machine,['A coordinate measuring machine (CMM) is a device for measuring the physical geometrical characteristics of an object.']
who owns youtube,"['YouTube is an American video-sharing website headquartered in San Bruno, California.']"
where does angela davis currently work,"['Davis retired in 2008 but continues to speak out on political issues, most notably in March 2007, when she called on the Congressional Black Caucus to denounce the Iraq War.']"
what does karma mean in buddhism,"['Karma, also spelled Karman, or Karman (“action”), the law of moral causation which permeates Hinduism and Buddhism.']"
what does a liquid oxygen plant look like,['Oxygen concentrations are generally given as a volume percent i.e. oxygen by volume (% O 2 ).']
who make airbus,"['Airbus is a global leader in aeronautics, space and related services. In 2012, the Group - comprising Airbus and Airbus Defence & Space - recorded revenues of € 60.7 billion and']"
when did qing dynasty begin,"['The Qing dynasty, formally the Great Qing (simplified Chinese : ; traditional Chinese : ; pinyin : Dà Qīng ) or Qing Empire, was the last imperial dynasty in China.']"
where does a flea live,"['Although the flea is an ectoparasite, most species prefer to live on endothermic animals as hosts, feeding on their blood ; however, the rat flea, Rattus norvegicus, can survive']"
what did tycho brahe do,"['Tycho introduced the idea that the solar system is infinite, but that the Sun and Moon revolve around the Earth.']"
what is a day care for?,"['A day care center or Child Daycare Center is a commercial establishment that offers care, supervision and early childhood education to children during the daytime especially by non-familial caregivers.']"
how many books are included in the protestant Bible?,"['The Bible was originally written in Hebrew, Aramaic, and Koine Greek.']"
WHere is a famous alluvial plain,['The Indo-Gangetic Plain is a historical name given to the plains of the lower stem of the Indus and the Ganges.']
what was the first year of kentucky derby,"['The inaugural Kentucky Derby took place on May 17, 1875 at 1:30 pm Eastern Time (10:30 am Pacific) in Louisville, Kentucky with a purse of $1,8']"
what day is 2011 super bowl?,"[""The 2011 Pro Bowl was the National Football League's all-star game for the 2010 season. It was played at Aloha Stadium in Honolulu, Hawaii, on Sunday, January 30""]"
what are land parcels,"['A parcel is a piece of land that is open or enclosed and considered as a unit or field, or as a farm or other property containing both buildings and land, or as a right of possession.']"
what is sado masochism,"['Sadism consists of taking pleasure from administering pain, while masochism consists of taking pleasure from suffering pain.']"
what is customary at shiva,['Shiva is the seven-day period of mourning that begins on the day of death of a close relative or friend.']
what is in a hot toddy,"['A hot toddy is an alcoholic beverage that generally contains hot water or another hot beverage, liquor, and a sweetener such as honey or sugar.']"
what is general chu chicken,"['Chicken is a dish consisting of chicken meat and bones, utilizing nothing else.']"
how many members are in the house of representatives,['The 115th Congress has 86 vacant positions according to a CQ Roll Call tally.']
what became of rich on price is right,"['Richard Wayne ""Dick"" Biondi (born December 10, 1941) is an American radio personality and announcer for Price Is Right, a game show hosted by Bill Cullen and Bob Barker']"
how do insulin syringes work,"['A modern insulin syringe is a slim device that can be operated with an index finger and is usually capable of delivering a small volume of highly accurate, and most importantly for the diabetic, painless injection of a']"
what is the si unit of pressure,['The pascal (also referred to as the newton per square metre or per square centimetre ) is the SI derived unit of pressure.']
What is the prostate for?,['The main function of the prostate is to produce part of the fluid found in semen.']
what company is cricket wireless by,"['Cricket Wireless is a division of AT&T that operates the fourth largest wireless carrier in the United States, after Verizon Wireless, AT&T Mobility, and T-Mobile USA.']"
when does the royal standard fly?,"['On most days the Civil, State and Royal Standsards fly from Civil House; they may also fly from Buckingham Palace on Royal occasions.']"
what countries did immigrants come from during the immigration,"['Europe accounted for 100% of United States legal immigration from 1815 to 1835, 77% from 1836 to 1855, 93% from']"
who set the world record for women for high jump,"[""In 1984 at the age of 25 she became the youngest woman athlete ever to be inducted into the International Women's Sports Hall of Fame, having set 14 world records in high jump over seven years""]"
WHAT IS PARESTHESIAS OF HANDS,"['Causes of paresthesias in the hands may include the following: Neurologic disorders: Brain disease or damage, often brought on by a tumor, ischemic stroke, hemorrhagic stroke, or tra']"
where is the sermon on the mount in the bible,"[""The Mount of Olives (Hebrew: הר העצלים, Har Ha'Atsim) is a mountain ridge running through Jerusalem from the Jordan Valley in the east to the Hebron mountains in the""]"
how old r Dylan and Cole Sprouse,"['Both brothers starred as the characters Zack and Cody, respectively, on the Disney Channel television series The Suite Life of Zack & Cody (20052008).']"
what is the measurements of saturn's moons,"['Apart from Titan, the second largest moon is Hyperion. It is unique in appearance and is extremely porous.']"
what is stent surgery,['Cardiac stenting involves a procedure designed to insert a stent into an artery that is narrowed by plaque.']
what is the actresses name that played in walk that line?,"['Jessica Ann ""Jess"" Chastain is an American film, stage, and television actress.']"
who is mary matalin married to,"['Matalin is married to James Carville, a political consultant and former advisor to President Bill Clinton.']"
what was the city of Mithridates,"['Mithradat (Mithridates in Sanskrit) was a town and capital of the Indo-Scythian Western Satraps, possibly corresponding to ancient Mathura.']"
what year was smokey the bear invented,['Smokey Bear was created in 1944 to help sell war bonds.']
who won the 1967 nba championship,"[""The 1967 NBA World Championship Series was the championship round of the 1966–67 National Basketball Association (NBA) season, and the conclusion of the season's playoffs.""]"
when did proof die,"['On May 12, 2006, a few hours before his court case, he was found dead in his home from an accidental drug overdose.']"
who sang black velvet,"['Black Velvet is the eighth studio album by American singer Alannah Myles. Produced by David Tyson, the album was released on December 2, 1989, by Capitol Records.']"
when did marlins start,"['The Miami Marlins are a professional baseball team located in Miami, Florida.']"
when the body is systemic,['A systemic sign is a sign in the human body which is a part of the entire system.']
what is preciosa crystal?,['Preciosa crystal was founded in 1724 by Franz Wirich of BÃ¶heim in the Bohemian town of Jablonec nad Nisou in the Kingdom of Bohemia. The firm specializes in cry']
how did women's role change during the war,['Women became the primary work force in many factories while men were away during the war.']
where is al jazeera based,"['Al Jazeera (Arabic : Al Jazeera) or Aljezeera, also known as JSC (formerly the Qatar Broadcasting Service), is an Arab state-funded broadcaster based in Doha']"
What Is Range in Math,"['Algebra – Average 100 Questions, Page 4. 1. How many numbers need to be between 0 and 2 for the average of those numbers to be 0.40? 4. 2']"
what type of land is savannah,['A savanna or savannah is a mixed woodland-grassland ecosystem characterised by the trees being sufficiently widely spaced so that the canopy does not close.']
where was martin luther king shot?,"['On April 4, 1968, King was fatally shot while standing on the balcony of the Lorraine Motel in downtown, (wherein Room 306 is now a memorial to his life']"
what county is bethlehem pa in,"['Bethlehem is the seventh-largest city in Pennsylvania, having a population of 71,000 in 2000.']"
when did spongebob first air,"[""The series premiered on Nickelodeon on May 1, 1999 after the Kids'Choice Awards.""]"
how did harmon killebrew get strong,"['Known for his tremendous power-hitting, 573 of his 693 home runs were with the bat in his right hand.']"
what county is bolingbrook il in?,"['Bolingbrook, Illinois is a township, in Cook County.']"
how often does ham station need to ID?,"['By statute, amateurs transmit callsigns ""once every 10 minutes when using voice operations while using telephony ; once a day, whenever using data.""']"
what food is in afghan,"['Food in Afghanistan often includes lamb, chicken, beef, and some dairy products. Wheat -based breads are consumed with most meals.']"
what can sql 2005 do,['SQL Server 2005 is also significantly faster in most benchmark tests.']
how many asian indians live in usa,"['According to the 2007 U.S. census, the total population of Asian Indians in the United States was about 2.5 million, and their majority (74%) live in California (39%), New Jersey (']"
what does continuous improvement mean,"['Continuous improvement or continuous change is about making changes to products, services, or processes that make things better.']"
what part of the pig do pork chops come from,['Pork chops are cut from the loin (back) portion of a side of pork.']
how much of our universe does plasma make up,"['It is a state of matter, along with solid and gas. It was first described by Irving Langmuir in the 1920s.']"
who wrote second corinthians,"['The Epistle to the Corinthians, often referred to as Second Corinthians and written c. 55 CE, is the eighth book of the New Testament and the fourth of the seven catholic or ""general letters"".']"
what is rock of ages about,"['The musical itself is set in the city of Bethlehem and the fictitious nightclub ""Bedrock"", whose owners, Lonny Barnett and Mitch Miley, try to save the venue from being shut down by Mayor']"
where is big pokey from,"['Pokey is the third son of two parents, William and Barbara Moore.']"
