question,correct_answer,wrong_answer
how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.","['Monica Lewinsky (born July 23, 1973) is an', ""Monica Lewinsky's affair with Bill Clinton rocked the political world, made her"", 'Bill Clinton was in the White House from January 20, 1993 until']"
how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.","['Frank Sinatra (December 12, 1915 – May 14', 'In May 1971, Sinatra was at the peak of his popularity.', ""Sinatra's career began in the swing era with Harry James and Tommy Dorsey before he found""]"
how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.","['J. K. Rowling OBE FRSE (born 31 July 196', ""Rowling is one of the United Kingdom's highest taxpayers and was, in 2"", 'The best selling Harry Potter book and film series is one of her best works.']"
how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.","['Auburndale is a city in Polk County, Florida, United States.', 'Auburndale is a city in Polk County, Florida, United States, that was', 'The 2010 census shows that the population of Auburndale has changed from']"
"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.","['American movie star Kirk Douglas, aka Issur Danielovitch, was born on December 9', 'Kirk Douglas was born on December 9, 1916 in Amsterdam, New York.', 'He is 70, and married to Anne Buydens (born Ann-Margret']"
how old is the singer bob seger,"Robert Clark ""Bob"" Seger is an American singer-songwriter, guitarist and pianist.","['Robert Clark ""Bob"" Seger (born May 6, 1945) is', 'Bob Seger.', ""Bob Seger is 72 years old today because Bob Seger's birthday is on December 6, 1945.""]"
how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 &ndash; April 22 1994) was the 37th President of the United States (1969&nd","['Nixon was the 37th president of the United States, serving from 196', 'Richard Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States, serving from 1969 to 19', 'From 1950 to 1960, Nixon was a member of the U.S. House of Representatives.']"
how old were the twin towers when destroyed,The buildings were 110 stories each and 1368 feet (417 m) high; the buildings' floors were arranged in a hexagonal-shaped bracing system. User Sentences Example,"['The World Trade Center ( also referred to as the Twin Towers, towers, the Center, or simply the WTC ) is a global network of offices, shops, and venues that is located in New York City.', '213 feet high (58 floors) The original Twin Towers were', 'WTC1, the first tower of the World Trade Center, opened on April 4,']"
how are the # of electrons in each shell determined,"Electrons of an inner shell (with principal quantum number) -2, -1, 0, +1 and +2 are allowed to have a lower energy configuration (lowest energy configuration), but only if they are evenly split between the","['To find the total number of electrons in an atom, you need to consider the number of electrons in', 'Electrons in the same energy level are in the same state of quantum mechanical energy, which is the product of their energy value,.', 'The number of electrons in a shell is given by the formula N = 2 Z 2,']"
how many presidents of the us,There have been forty-four American presidents.,"['The Presidents of the United States of America (commonly referred to as POTUS, the', 'The Presidents of the United States Constitutional Convention (1787), known as the Philadelphia Convention or the Federal Convention, took place from May to September 1787, at the Pennsylvania State House (later renamed Independence', '44 men have been President of the United States, the 44th of whom, Donald Trump, was sworn into office on January 20, 2017.']"
how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.","['Beatrice Arthur was born on January 13, 1922 and died on December', 'Beatrice was born in Dundee, Scotland, in 1824 as Margaret Ogilvy; she married David Stevenson in Perth on 2 July 1846.', ""Born in Brooklyn, New York, Beatrice is the daughter of Jack Benny's manager""]"
how are public schools funded,"Public schools are generally funded by the government, with the exact mechanism depending on the country. In the United States, local property taxes may finance public schools to a large extent.","['The funds usually come from a mix of local, federal and state sources through direct appropriations or through formulas that rely on local property taxes.', ""Funding of Public Schools: Income derived from personal and corporate income tax, sales tax, and tax on property levied by a school district form the lion's share of its budget dollars, in part because they can be raised"", 'Many governments use a progressive income tax, in which higher earners pay higher rates, to']"
how are public schools funded,"Public schools are generally funded by the government, with the exact mechanism depending on the country. In the United States, local property taxes may finance public schools to a large extent.","['The majority of states in the United States fund public schools according to an enrollment system, where a per student amount is allocated for students attending each public school, based on the total number of students in the public schools and on the number of', 'Under the No Child Left Behind Act, most students are eligible to receive a federal stipend to fund their education (in the form of free lunches and reduced-cost lunches), but for students to receive federal funds', ""The United States' public school system consists of primary and secondary schools funded by three levels of government""]"
what happens  to the light independent reactions of photosynthesis?,"The light-dependent reactions are followed by the light-independent reactions, also known as the Calvin cycle.","['The light-independent reactions are actually more properly called the Calvin Cycle after the chem', 'During the light reactions of photosynthesis, the energy of light is used to make ATP and NADPH.', 'Carbon dioxide enters the Calvin cycle and is added to 3-phosphoglycerate; reducing power comes from NADPH and ATP.']"
what happens  to the light independent reactions of photosynthesis?,"The light-dependent reactions are followed by the light-independent reactions, also known as the Calvin cycle.","['The light-independent reactions combine CO2 and H2O to form the three-carbon compound (triose sugar) called G3P.', 'During the light independent reactions, ATP and NADPH are produced.', 'CO2 is converted to carbohydrates (sugars) and oxygen.']"
what did mia hamm do his work,"Mia Hamm is an American retired soccer player, coach and analyst.","['Mia Hamm has a net worth of $65 million dollars.', 'Mia Hamm: US Soccer Icon Has New Role as Co-Head Of The Athena Academy', 'She is known internationally for both her appearance on magazine covers as well as her accomplishments in soccer.']"
what countries are under the buddhism religion,Ancient India and the Buddhist countries of east Asia constitute the world's largest Buddhist population.,"['Buddhism is the fourth largest religion in the world (about 3.7% of the total', 'The term ""Buddhist countries"" can refer to countries where the Buddhism (religion) or the majority of the people are Buddhist.', 'Buddhism is a nontheistic dharmic (i) religion.']"
how did wild bill's father die,"Wild Bill Hickok's Legendary Fathers: Bill was the son of William Hickok, the infamous “wild Bill” that led his band of pioneers and adventurers through treacherous frontier lands","['Wild Bill died in 1876, after being hit in the back of the head by', 'His father died of a broken heart, not on his deathbed, but from one of his business', 'A shootout occurred near the town of Meadow Bluff, Wyoming.']"
how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.,"[""Mars Exploration Rovers (MER), also known as MER-A and MER-B ( Mars Exploration Rover 'A', Mars Exploration Rover 'B' ) are roving robots working on"", 'There have been four Mars rovers (Sojourner, Spirit, Opportunity, and', 'Spirit and Opportunity have both landed on Mars and still sending data back to Earth for analysis.']"
how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.","['Forensic accounting is the analysis of financial information as part of a court case.', 'The role of the Forensic Practice Assurance Team is to: • Undertake Forensic reviews and Investigations.', 'Forensic auditors can use various methods, including computer auditing, and fraud examination']"
how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.","['Forensic Auditors will look for certain red flags to help them decide if their business has an internal control problem or not.', 'When auditing financial reports, many of the standard auditing methods are applied.', 'Auditors are involved in the examination of financial statements, auditors evaluate whether the financial statements conform']"
how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,"[""The process typically includes an examination of a company's existing data and its internal controls, as well as interviews with its personnel."", 'A forensic auditor is someone who investigates suspicious accounting, financial, or other', 'The AICPA defines auditing as "" the independent examination of and reporting on the financial statements']"
What did the augurs use to interpret the will of the gods?,"Augury, in ancient Roman religion and mythology, the art of reading omens. The augurs interpreted the flight of birds and the entrails of animals slain as victims to the gods, in order to foretell the future.","['Oraculum (genitive oraculum) is Latin.', 'An augur (from Latin augur, meaning "" an observer of birds ) is a person who', 'augur / ewg r / (Latin: oracular) [o]anp/ (noun); augural -ing 2 : augury : the practice of reading divine will from the appearance of omens The name']"
"What county is Farmington Hills, MI in?","Both the City of Farmington Hills and the Township of Farmington Hills are in Oakland County, Michigan. The border between the City and the Township is Farmington Road.","['Farmington Hills is a city in Oakland County of the U.S. state of Michigan', 'According to the United States Census Bureau, the city has a total area of 36.68 square miles, of which 36.22 square miles is land and 0.46 square miles is water.', 'There is a subregion of Metropolitan Oakland County, which stretches from south of Farmington Hills bordering Detroit to the city limits of Troy, the southwest edge of the Waterford Township, Pontiac, West Bloomfield Township']"
what does a groundhog look for on groundhog day,"Groundhog Day, also known as Ground Hog Day, is said to have been inspired by a pagan tradition of watching for animals to come out of hibernation.","['On February 2, 2016, a groundhog named Marmota monax saw its shadow and thus predicted six more weeks of winter which was proved by the National Climatic Data Center.', 'According to folklore, if a groundhog emerges from its burrow on this day', 'Groundhog Day has been held in the borough since 1886 to honor the German immigrants who settled Pennsylvania Dutch country.']"
What committees are joint committees,"Joint committees, also known in some parliaments as ""Committees of the Houses"", are created by Parliament to examine issues of joint interest between the branches of government.","['An ad·min·is·tra·tion is a shared system of executive and administrative governing.', 'A committee is a body of individuals, typically sensing to a larger organization or supporting its activities.', 'United Nations specialized agencies (sometimes referred to as organizations or bodies), established by intergovernmental agreement to carry out activities in support of the main United Nations organs.']"
how many stripes on the flag,Each one of the 50 stars in the American flag stands for a different state.,"['After the first stripe, red, a broad stripe of white appeared.', 'There are seventeen stripes on the American Flag, with seven red stripes alternating with 13 white stripes.', 'The flag of the United States consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white (the top stripe is a red rectangle in the canton ).']"
How many states and territories are within India?,29 states and 7 union territories India's political subdivisions are 29 states of the Union of India plus seven territories that are administered as a union territory. States are further divided into districts.,"['India is a member state of the South Asian Association for Regional Cooperation (SAARC) and World Trade Organization (WTO).', 'India is made up of twenty-nine states and seven union territories.', 'There are 28 states in India, 6 territories and 2 union territories.']"
what county is galveston in texas,"Galveston County consists of the mainland portion of the Cape of the same name in South Texas bounded north by the Brazoria Bay, east by the Gulf of Mexico, south by Galveston Bay, and west by Harris County,","['Galveston is a coastal resort city on Galveston Island and Pelican Island in the U.S. state of Texas.', 'Galveston is a city on Galveston Island and Pelican Island in the U.S. state of Texas.', 'Galveston County is the smallest county by area in the U.S. state of Texas.']"
what cities are in the bahamas,"New Providence, Bahamas.","['New Providence, Arawak Cay, Shrub Cay, Tunkabah', 'There are 700 islets and islands in the Bahamas, which are located around 80 kilometers (50 mi) from Florida in the Atlantic Ocean.', 'The capital and largest city is Nassau located in the northern part of the island of New Providence, which constitutes the centre.']"
what cities are in the bahamas,"New Providence, Bahamas.","['Nassau, the Bahamas’s capital city, has become an essential port of call', 'The Bahamas is an island state in the Atlantic Ocean with over 700 islands that also belongs to the Commonwealth of Nations.', 'The islands that form the Commonwealth of The Bahamas comprise 29 islands, 661 cays, and 2,387 rocks and islets.']"
how many schools are in the big ten,"The Big Ten Conference is an American collegiate athletic conference that has 14 members including the University of Illinois at Urbana–Champaign, Indiana University Bloomington, University of Michigan, Michigan State University, University of Wisconsin–","['The Big Ten Conference ( B1G ) is the oldest Division I collegiate athletic conference in the United States.', ""Member athletic departments participate in the NCAA's Division I."", 'The Big Ten Conference is an American collegiate athletic conference in the Northeastern United States.']"
how is single malt scotch made,"Most of the 114 single malts produced in Scotland are distilled only once, but there are a handful of exceptions like the Balblair and Oban whiskeys, where the spirit is distilled twice.","['A method known as pot distillation is employed to distill single malts using a still known as a pot still.', ""It's made in a variety of stills, including pot still, column still, fractional still, and continuous still, and most Scotch whiskies are distilled at least twice."", 'It is made exclusively from malted barley, rather than from a mixture of malt']"
how is single malt scotch made,"Most of the 114 single malts produced in Scotland are distilled only once, but there are a handful of exceptions like the Balblair and Oban whiskeys, where the spirit is distilled twice.","['Single malt scotch is a category of Scotch whisky, typically produced at a single', 'All traditional scotch comes from malted barley that is slowly dried over a period of six months in a kiln with peat smoke; the barley remains in the malted state throughout the manufacturing process.', 'The malt used to produce the single malt scotch must be from a single site where']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['John Adams (composer).', 'Mass (music) is a theoretical term for the aggregate effect of pitch ( melody ) and rhythm (harmony ).', 'John Cage (1912–1992) was an American composer, writer']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['""Sound Mass"" was a composition that combined noise or other non-melodic sounds with mel', 'In music, timbre (also called tone color, tone quality or quality of timbre ) is the perceptual property of sound that allows a listener to identify a musical instrument, voice, or other sound source, regardless of whether any associated instrument', 'Sound mass includes both sound intensity and sound pressure.']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['Soundmass is a record label in the United Kingdom and Ireland founded by Chris Jones, Dave Smith,', 'Soundscape and sound mass refer to the use of sounds for environmental design as distinct from audio design.', 'Sound mass (sounding board, resonance, sonic mass ) is the resonance of an object, usually the interior of a large, partially or fully enclosed space, to produce sound.']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['The word timbre is used to define a distinctive sound quality, rather than pitch, loudness', 'John Adams (composer).', 'Karlheinz Stockhausen.']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['Ockeghem adopted the mass genre in the late Middle Ages, becoming arguably its earliest master and the most important composer of masses during the 15th century.', ""Mass in B minor, BWV 232, also commonly known as the 'Bach Mass', is a mass by Johann Sebastian Bach, composed in the spring of 1749."", 'Sound sculpture is a form of sculpture that consists of sound, although sound sculptures need not']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['Composers have used sound in varying ways, for example to create atmospheres or convey emotions, in many genres of Western classical music.', 'John Adams (composer).', 'Mass (music) is a theoretical term for the aggregate effect of pitch ( melody ) and rhythm (harmony ).']"
what composer used sound mass,"In the early twentieth century, Russian composer Alexander Scriabin wrote that the ""new art will be that which will place its sound sources at the disposal of the intelligence, the will, the feelings, and the whole human apparatus","['Sound mass (German: Gesamtkunstwerk, ""total work of art "", or German: Gemeinschaftskunstwerk, ""art for a community"") was a term coined by German composer Richard Wagner in the 19th', 'John Cage is often credited with coining the term ""Sound mass"" to describe what he', 'Sound mass (sounding board, resonance, sonic mass ) is the resonance of an object, usually the interior of a large, partially or fully enclosed space, to produce sound.']"
what continent is australia,"Australian Continent, continent located in AustralAsia. The continent, approximately equal in size to the four great European landmasses combined and almost as large as the whole of Africa, occupies the northern portion of the Southern Hemisphere.","[""Australia is located in the southern hemisphere's Southern Temperate Zone, with relatively consistent temperatures, although tropical pockets of rainforest exist in far northern Queensland."", 'Australia - Geography - Climate and Environment - World Wildlife Fund Australia USA-based: Phone Number: To make a call to USA from UK we can use both the country calling code and the dialing codes of the countries we are', 'Australia, officially known as the Commonwealth of Australia, is a country comprising the mainland of the Australian continent, the island of Tasmania and numerous smaller islands.']"
how many people live in atlanta georgia,"As of 2010, Atlanta's metropolitan area had 5,268,860 people, making it the ninth-largest in the United States.","['Atlanta had an estimated population of 498,044, according to the 2010 United States Census....', 'Atlanta is the most populous city in the U.S. state of Georgia and is commonly known as "" ATL"" ; the city has a population of 463,878 according to the 2010 U.', 'Atlanta is the most populous city in the US state of Georgia and the US southeastern Com']"
how many people live in atlanta georgia,"As of 2010, Atlanta's metropolitan area had 5,268,860 people, making it the ninth-largest in the United States.","['It is the eighth-largest metropolitan area in the nation with a population of approximately', ""As of 2017, Atlanta's estimated population was 486,290, making it the 38th most populous city in the United States."", 'Atlanta is the capital city and the most populous city in the state of Georgia in the United States']"
what does it mean to be a commonwealth state,"Commonwealth is a term generally used for the nations of the Commonwealth of Nations, a loose association of 53 member states, almost all former components of the formerly extensive British Empire.","['Commonwealth, formerly British Commonwealth or Commonwealth of Nations, free association of 16 sovereign states', 'A Commonwealth (also known as a Commonwealth of Nations) is a term primarily indicating a looser (and generally asymmetrical) system of bilateral relations between sovereign states, dating in current usage from the 1649', 'In 18 January 1972, by an instrument of merger between the Commonwealth of Australia and the State of New South Wales the commonwealth state is New South Wales.']"
how long can you be in the supreme court,Members of the Supreme Court are appointed by the President of the United States and confirmed by the United States Senate.,"['Chief Justice of the United States: John G. Roberts, Jr.', 'Each year, the Supreme Court receives a flood of requests for interviews.', 'The term of service of a justice of the Supreme Court of the United States is initially ten years; justices are then eligible for another ten years or until the attainment of the age of 70, whichever occurs first']"
what county in texas is conroe located in,"Conroe is located in Montgomery County, Texas.","[""The city's population in 2010 was 57,200."", 'Conroe is both the county seat and, with 57,200 people, the largest city in Montgomery County, Texas.', 'Conroe is the seat of Montgomery County.']"
What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.","['Best Rock Album: The Butterfly Effect, ""Hurt"" (A&M)..', 'Cold Chisel were honoured at the 25th Annual Australian Recording Industry Association (ARIA) Music Awards.', 'Talking Heads won Best Rock Album for Little Creatures.']"
how does a dredge work?,"In mining a dredge is a vessel which is established on floats and, like a floating fishing weir, is established in a way to allow water flow through the weir, but allowing dredges and miners to work","['""Dredging,"" or ""cutting,"" is achieved by cutting down to the gravel layer with a ""scoop,"" ""drag,"" or chain conveyor.', 'A dredge is a floating boatlike device with a large drag mechanism that removes loose materials from surface areas of water, such as riverbeds, lakes or the ocean floor.', 'A dredge, sluice box or gold pan is used to find gold deposits the placer method but as placer deposits have been mostly mined in the eastern part of the United States, in western states placer is referred']"
how does a dredge work?,"In mining a dredge is a vessel which is established on floats and, like a floating fishing weir, is established in a way to allow water flow through the weir, but allowing dredges and miners to work","['With a suction pump, dredging equipment operates underwater and extracts materials from the seabed.', 'A dredge is a piece of mining equipment that can be submerged to excav', 'The dredge itself consists of two pumping engines and large buckets mounted on a flexible']"
how does a dredge work?,"In mining a dredge is a vessel which is established on floats and, like a floating fishing weir, is established in a way to allow water flow through the weir, but allowing dredges and miners to work","['Dredges are suction equipment used to remove material, such as sediment, rocks, or contaminants, from the bottom or body of a lake, river, or other water-filled hole.', 'Dredge is to excavate at or below the surface of the earth but it can also mean the mechanical device that does so.', 'A dredge ( also called drag or bucket dredge ) is an apparatus for excavating material which is too deep for humans to excavate it with common tools.']"
how does a dredge work?,"In mining a dredge is a vessel which is established on floats and, like a floating fishing weir, is established in a way to allow water flow through the weir, but allowing dredges and miners to work","['Dredging is an excavation activity undertaken with a dredge (or several dredges ) consisting of buckets, ladles, grapples, or scoops.', 'Placer dredging is the mining of alluvial minerals such as gold using equipment such as the bucket dredge or the clamshell dredge.', 'A Dredge is a device that is used for the extraction of earth and materials, from']"
how does a dredge work?,"In mining a dredge is a vessel which is established on floats and, like a floating fishing weir, is established in a way to allow water flow through the weir, but allowing dredges and miners to work","['Dredge mining includes dredge mining, hard-rock mines, underground mines, gold mines, and even gravel and sand pits.', 'A dredge ( also called drag or bucket dredge ) is an apparatus for excavating material which is too deep for humans to excavate it with common tools.', 'They are generally operated by an independent, self-sufficient dredge operator who has been h']"
what did benedict arnold die,Benedict Arnold died in 1801.,"['Benedict Arnold was a general in the Continental Army during the American Revolutionary War.', 'Benedict Arnold () (January 14, 1741/1742 – June 14, 1801) was a general during the American Revolutionary War who originally fought for the American reb', 'Benedict Arnold was an officer in the British army and also in the Continental Army during the American']"
how many world series did curt schilling have,"He was the game's winning pitcher in 1993, 1996, 1997, and 2001, as part of a record (since broken) eight World Series appearances.","['Curtis Montague Schilling (born November 14, 1966) is', 'Curt Schilling (born November 14, 1966) is an American former professional baseball right-handed pitcher.', 'Curt Schilling appeared in four World Series, twice (1988, 1993) with the Oakland Athletics, and twice (1997, 1999) with the Baltimore Orioles, and he']"
how many ports are there in networking,"There is no universal standard for the number of Ethernet ports that a device (such as a personal computer, router, or video game console) can support: The number varies greatly, from single-port devices to multigigabit","['An Ethernet port connects a networkable device to a network.', 'There are, in general, 4 networks in a computer: LAN (Local Area Network), i.e.', 'A serial port is a type of interface that connects a computer or peripheral device to a serial communication cable.']"
what area code is 479,Area Code 479 serves the state of Arkansas.,"['The North American Numbering Plan (NANP) is a telephone numbering plan for North America that administers more than 300 NPA (North American Phone Area) codes, including the United States, Canada, the', 'Area codes 405, 580, and 918 were created as a split of area code 505.', 'Area code 479 is located in AR and includes Fort Smith, Spiro, Roland']"
what area code is 479,Area Code 479 serves the state of Arkansas.,"['Area codes 405, 580, and 918 were created as a split of area code 505.', '(501) is a General Purpose Code.', 'Area code 479 was created in 2001.']"
what does arraignment mean,"In criminal law, an arraignment is the formal reading of a defendant's charges in an open court.","[""Arraignment (from Spanish: arraigo, meaning attorney's fee, an allusion to an appearance for this purpose) refers to a defendant's first appearance in a criminal case before a judge or a jury to hear"", '""The arraignment is not a contest or a hearing in which a court has to listen to', ""An arrest is a legal restriction of the individual's liberty, most commonly by law enforcement officials""]"
what did chaucer do,"Geoffrey Chaucer was an English author, poet, philosopher, bureaucrat, courtier, and astronomer.","['John Chaucer (c. 15 August 1343 – 26 June 1400) was Englishman of the early 14th century.', 'Troilus and Criseyde, and Canterbury Tales, he is the father of', 'Geoffrey Chaucer (/ˈtʃɔːsər/ CHAW-sər ; ca.']"
what did chaucer do,"Geoffrey Chaucer was an English author, poet, philosopher, bureaucrat, courtier, and astronomer.","['An apprentice to a vintner, Chaucer travelled widely for business, including a stay as a merchant customs agent in Italy.', 'He wrote many poems, both religious and secular.', ""He was appointed customs officer (Portreeve) of London on 25 January 1389 by Adam FitzRoy, the King's Chief Forester in the Forest of Isle, who held both offices as constable""]"
what does am and pm stand for,"Am and pm is an abbreviation of Latin ante meridiem and post meridiem, literally ""before noon"" and ""after noon"".","['24-hour clock AM/PM time is any method for distinguishing between one day and the next.', 'The abbreviations a.m. and p.m. stand for ante meridiem (', 'AM / PM (pronounced as the word ""ampersand"") is an abbreviation meaning "" ante meridiem "", meaning "" before noon "" in Latin, as an abbreviation of the Latin phrase ante meridiem, "" before']"
how is canada's health care,"Healthcare in Canada comprises 12 publicly funded health care insurance plans, which are mostly run with provincial authority (except for the Atlantic Provinces, which operate under some regional authority).","['Public health care was introduced in Canada with the 1957 Canada Health Act.', 'Canada health care spending in 2014 is 9.9% of GDP, compared to 16.8% in the US according to the World Bank.', 'Health care in Canada is provided through provincial and territorial governments, which regulate the delivery of health']"
how do pineapples grow,Pineapples grow only in tropical and subtropical areas of the world because of the very short time that it takes the plant to produce the pineapple fruit.,"['The pineapple is a well-known tropical fruit which grows on a plant that has spear-like leaves.', 'Most pineapples grow on bushes (instead of vines) and are hand-pollinated.', 'Pineapples are tropical fruit produced by the pineapple plant, a herbaceous']"
what country did wine originate in,"The origins of modern winemaking can be traced through archaeological evidence to around 6000 BC in modern-day Georgia, in the Caucasus region.","['The Neolithic inhabitants of the Near East made both beer and wine from small fruits.', ""Wine's origins can be traced to the Neolithic clay amphorae discovered in the Jiahu site in Henan province, China, and dated between 7500 and 6600"", 'Wine production is a part of the culture of wine-growing regions, Producing wine is also known as Winemaking.']"
how many district are in west bengal,"West Bengal is divided into nineteen districts, including Kolkata district and North 24 Parganas district (which are urban areas/subdivisions).","['Purba Medinipur District () is an administrative district in the state of West Bengal, India.', 'As of 2001 [update], West Bengal has 23 districts.', 'West Bengal consists of 23 districts with Howrah as its largest district in terms of area']"
how many towns in new hampshire,"New Hampshire has 233 incorporated towns (13 incorporated cities ) within its borders, making New Hampshire the United States jurisdiction with the highest number of incorporated towns by relative population size.","['This is a list of cities, towns, and unincorporated communities in the U', '(1) : the territory occupied by one of the constituent administrative districts of a nation (distinguished from 2b) : the central administrative or executive department of a government (2) : the centralized group of state or local government', 'The township comprises twelve towns, of which the last two were set off in 1775.']"
what does salesforce.com do?,"Salesforce.com, Inc. is an American cloud-based software company.","['Salesforce CRM Customer relationship management - Wikipedia The ""Customer"" in CRM is focused on the customer experience and the company\'s ability to meet and exceed customer expectations Salesforce is a American cloud computing company with headquarters in San Francisco, California', 'Salesforce is the only enterprise cloud computing company that brings customers the social collaborative enterprise', 'Salesforce.com has developed into a cloud computing company and provides Customer Relationship Management (CRM) software via cloud computing.']"
what does 1 year mean to the planet,One year is defined as the average time taken by the Earth to complete a revolution around the Sun.,"['Our earthly civilization is very young, in the 20,000 year range and has grown to where humans are almost the dominant life form on the planet, in a few short decades, this is the first time.', 'At 1.6°C above the preindustrial (1750), the planet has crossed that boundary.', 'One year: The length of the tropical year is 365.24219']"
